Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Galowitz, Kylie",FR-1,12.87m,"42' 2.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Filkins, Andrea",JR-3,12.62m,"41' 5""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Filkins, Andrea",JR-3,12.30m,"40' 4.25""",Grinnell Invitational,"Jan 28, 2023"
,"Filkins, Andrea",JR-3,11.98m,"39' 3.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Filkins, Andrea",JR-3,11.86m,"38' 11""",Darren Young Classic,"Feb 11, 2023"
,"Galowitz, Kylie",FR-1,11.84m,"38' 10.25""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Filkins, Andrea",JR-3,11.82m,"38' 9.5""",Grinnell Invitational,"Jan 28, 2023"
,"Filkins, Andrea",JR-3,11.78m,"38' 7.75""",Darren Young Classic,"Feb 11, 2023"
,"Filkins, Andrea",JR-3,11.72m,"38' 5.5""",Grinnell Invitational,"Jan 28, 2023"
,"Galowitz, Kylie",FR-1,11.70m,"38' 4.75""",Hilltop Invitational,"Jan 21, 2023"
,"Galowitz, Kylie",FR-1,11.68m,"38' 4""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Galowitz, Kylie",FR-1,11.68m,"38' 4""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Galowitz, Kylie",FR-1,11.59m,"38' 0.25""",Hilltop Invitational,"Jan 21, 2023"
,"Filkins, Andrea",JR-3,11.41m,"37' 5.25""",Grinnell Invitational,"Jan 28, 2023"
,"Filkins, Andrea",JR-3,11.34m,"37' 2.5""",Darren Young Classic,"Feb 11, 2023"
,"Filkins, Andrea",JR-3,11.32m,"37' 1.75""",Grinnell Invitational,"Jan 28, 2023"
,"Filkins, Andrea",JR-3,11.09m,"36' 4.75""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,11.09m,"36' 4.75""",Grinnell Invitational,"Jan 28, 2023"
,"Galowitz, Kylie",FR-1,11.06m,"36' 3.5""",Darren Young Classic,"Feb 11, 2023"
,"Strovers, Maddy",FR-1,11.02m,"36' 2""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Galowitz, Kylie",FR-1,10.99m,"36' 0.75""",Hilltop Invitational,"Jan 21, 2023"
,"Galowitz, Kylie",FR-1,10.98m,"36' 0.25""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,10.94m,"35' 10.75""",Grinnell Opener,"Dec 9, 2022"
,"Galowitz, Kylie",FR-1,10.93m,"35' 10.5""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,10.82m,"35' 6""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Galowitz, Kylie",FR-1,10.76m,"35' 3.75""",Grinnell Opener,"Dec 9, 2022"
,"Galowitz, Kylie",FR-1,10.76m,"35' 3.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Strovers, Maddy",FR-1,10.75m,"35' 3.25""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Galowitz, Kylie",FR-1,10.75m,"35' 3.25""",Hilltop Invitational,"Jan 21, 2023"
,"Filkins, Andrea",JR-3,10.65m,"34' 11.25""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,10.57m,"34' 8.25""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Strovers, Maddy",FR-1,10.55m,"34' 7.5""",Darren Young Classic,"Feb 11, 2023"
,"Galowitz, Kylie",FR-1,10.54m,"34' 7""",Grinnell Opener,"Dec 9, 2022"
,"Galowitz, Kylie",FR-1,10.51m,"34' 5.75""",Grinnell Invitational,"Jan 28, 2023"
,"Galowitz, Kylie",FR-1,10.50m,"34' 5.5""",Darren Young Classic,"Feb 11, 2023"
,"Strovers, Maddy",FR-1,10.47m,"34' 4.25""",Darren Young Classic,"Feb 11, 2023"
,"Strovers, Maddy",FR-1,10.39m,"34' 1.25""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Strovers, Maddy",FR-1,10.27m,"33' 8.5""",Grinnell Opener,"Dec 9, 2022"
,"Galowitz, Kylie",FR-1,10.24m,"33' 7.25""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,10.04m,"32' 11.25""",Grinnell Opener,"Dec 9, 2022"
,"Galowitz, Kylie",FR-1,9.92m,"32' 6.5""",Grinnell Opener,"Dec 9, 2022"
,"Strovers, Maddy",FR-1,9.72m,"31' 10.75""",Grinnell Opener,"Dec 9, 2022"
,"Filkins, Andrea",JR-3,9.63m,"31' 7.25""",Hilltop Invitational,"Jan 21, 2023"
,"Filkins, Andrea",JR-3,9.37m,"30' 9""",Grinnell Opener,"Dec 9, 2022"
,"Strovers, Maddy",FR-1,9.11m,"29' 10.75""",Grinnell Opener,"Dec 9, 2022"
,"Strovers, Maddy",FR-1,5.66m,"18' 7""",Hilltop Invitational,"Jan 21, 2023"
