0,1,2
POINTS,16,Monmouth College (10/27/2012)
GOALS,5,Coe College (8/31/2012) Monmouth College (10/27/2012)
ASSISTS,6,Monmouth College (10/27/2012)
SHOTS,22,Cornell College (9/30/2012)
SHOTS ON GOAL,14,Monmouth College (10/27/2012)
SAVES,10,Univ. of Dubuque (9/26/2012)
FOULS,13,Ripon College (10/28/2012)
CORNER KICKS,10,Cornell College (9/30/2012) Beloit College (10/6/2012)
