0,1,2
POINTS,10,Univ. of Dubuque (9/26/2012)
GOALS,4,Univ. of Dubuque (9/26/2012)
ASSISTS,2,UWP (9/9/2012) Carroll University (9/16/2012) Univ. of Dubuque (9/26/2012) Beloit College (10/6/2012)
SHOTS,18,Simpson College (9/5/2012) UWP (9/9/2012) Univ. of Dubuque (9/26/2012)
SHOTS ON GOAL,14,Univ. of Dubuque (9/26/2012)
SAVES,9,St. Norbert College (10/21/2012) Monmouth College (10/27/2012) Ripon College (10/28/2012)
FOULS,14,St. Norbert College (10/21/2012)
CORNER KICKS,12,Simpson College (9/5/2012)
