#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
11.0,"Brown, Joseph 11Brown, Joseph",17,16,1050,12,4,28,60,0.2,34,0.567,1-0,1,1-2,View Bio
6.0,"Meyer, Elliot 6Meyer, Elliot",18,7,684,4,3,11,22,0.182,13,0.591,0-0,0,0-0,View Bio
16.0,"Warner, Benjamin 16Warner, Benjamin",18,11,678,2,6,10,11,0.182,7,0.636,0-0,1,2-3,View Bio
3.0,"Ghazal, Victor 3Ghazal, Victor",18,3,731,4,1,9,21,0.19,13,0.619,1-0,3,0-0,View Bio
21.0,"Caron, Reed 21Caron, Reed",18,18,1202,2,3,7,13,0.154,8,0.615,0-0,1,0-0,View Bio
4.0,"Winichakul, Kanatip 4Winichakul, Kanatip",18,18,1309,3,0,6,15,0.2,8,0.533,1-0,2,0-0,
23.0,"Charney, Benjamin 23Charney, Benjamin",9,5,276,2,0,4,10,0.2,4,0.4,0-0,0,0-1,View Bio
10.0,"Hurley, Michael 10Hurley, Michael",17,12,841,1,1,3,22,0.045,8,0.364,0-0,0,0-0,View Bio
9.0,"Kashef, Omeed 9Kashef, Omeed",11,6,397,1,1,3,15,0.067,7,0.467,0-0,0,0-0,View Bio
18.0,"Singer, Gabe 18Singer, Gabe",17,4,598,1,0,2,1,1.0,1,1.0,0-0,1,0-0,View Bio
14.0,"Christiansen, Eric 14Christiansen, Eric",12,5,512,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
13.0,"Olsen, Lars 13Olsen, Lars",17,17,1209,0,1,1,0,0.0,0,0.0,3-0,0,0-0,View Bio
2.0,"Alexrod, Sandor 2Alexrod, Sandor",8,0,127,0,0,0,1,0.0,1,1.0,0-0,0,0-0,
27.0,"Banas, Tyler 27Banas, Tyler",4,0,110,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
8.0,"Botto, Marshall 8Botto, Marshall",12,0,218,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12.0,"Brown, Jerry 12Brown, Jerry",16,8,727,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
20.0,"Bulman, Jeremy 20Bulman, Jeremy",5,0,20,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
7.0,"Decoster, Rockne 7Decoster, Rockne",17,6,767,0,0,0,9,0.0,5,0.556,0-0,0,0-0,View Bio
24.0,"Dreier, Jay 24Dreier, Jay",18,18,888,0,0,0,5,0.0,3,0.6,1-0,0,0-0,View Bio
26.0,"Edgerton, Ezra 26Edgerton, Ezra",2,0,12,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
5.0,"Eng, Lukas 5Eng, Lukas",18,10,453,0,0,0,5,0.0,3,0.6,0-0,0,0-0,View Bio
25.0,"Graves, Christopher 25Graves, Christopher",17,0,445,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
8.0,"Kakkar, Ambar 8Kakkar, Ambar",1,0,2,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
17.0,"Leitson, David 17Leitson, David",12,3,431,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
19.0,"Liebman, Zachary 19Liebman, Zachary",14,12,595,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
22.0,"Marker, Alex 22Marker, Alex",4,0,84,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Saenz, Joe 15Saenz, Joe",12,1,383,0,0,0,1,0.0,0,0.0,1-0,0,0-0,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",18,18,1450,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
20.0,"Ward, Connor 20Ward, Connor",2,0,96,0,0,0,3,0.0,1,0.333,0-0,0,0-0,
,Total,18,-,16295,32,21,85,218,0.147,118,0.541,10-0,9,3-6,
,Opponent,18,-,16480,23,12,58,197,0.117,108,0.548,22-0,8,0-1,
