#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Tyree, Isaiah 00Tyree, Isaiah",18,18,1640:00,23,1.26,85,0.787,9.0,8.0,1.0,2,155,View Bio
,Total,18,-,1640:00,23,1.26,85,0.787,9.0,8.0,1.0,2,155,
,Opponents,18,-,1640:00,32,1.76,86,0.729,,,,4,177,
