Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2012,Coe College,5-1,90:00,1,1.0,9,0.9,1,0,0,0,14
9/2/2012,Central College,2-2,110:00,2,1.35,5,0.714,0,0,1,0,15
9/5/2012,Simpson College,0-2,90:00,2,1.55,3,0.6,0,1,0,0,18
9/9/2012,UWP,1-2,90:00,2,1.66,5,0.714,0,1,0,0,18
9/15/2012,Lake Forest,0-1,90:00,1,1.53,2,0.667,0,1,0,0,3
9/16/2012,Carroll University,0-2,90:00,2,1.61,3,0.6,0,1,0,0,0
9/22/2012,Illinois College,2-1,90:00,1,1.52,4,0.8,1,0,0,0,8
9/23/2012,Buena Vista Univ.,2-0,90:00,0,1.34,1,1.0,1,0,0,1,0
9/26/2012,Univ. of Dubuque,0-4,90:00,4,1.63,10,0.714,0,1,0,0,18
9/29/2012,Knox College,4-1,90:00,1,1.57,4,0.8,1,0,0,0,5
9/30/2012,Cornell College,4-0,90:00,0,1.43,1,1.0,1,0,0,1,3
10/6/2012,Beloit College,1-2,90:00,2,1.47,8,0.8,0,1,0,0,0
10/16/2012,St. Mary's Univ.,3-1,90:00,1,1.44,5,0.833,1,0,0,0,9
10/20/2012,Lawrence University,1-0,90:00,0,1.34,5,1.0,1,0,0,1,10
10/21/2012,St. Norbert College,0-1,90:00,1,1.31,6,0.857,0,1,0,0,9
10/27/2012,Monmouth College,5-1,90:00,1,1.29,5,0.833,1,0,0,0,6
10/28/2012,Ripon College,2-1,90:00,1,1.28,5,0.833,1,0,0,0,10
11/2/2012,Lake Forest,0-1,90:00,1,1.26,4,0.8,0,1,0,0,9
Totals,,-,1640,23,1.26,85,0.787,9,8,1,3,155
Opponent,,-,1640:00,32,1.76,86,0.729,8,9,1,4,177
