Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/31/2012,vs Coe College,W,5-1,(1-0),,167,Joseph Brown (0) Kanatip Winichakul (0) Joseph Brown (0) Benjamin Charney (0) Joseph Brown (3)
9/2/2012,vs Central College,T,2-2,(1-0-1),,117,Omeed Kashef (0) Reed Caron (0) (Joseph Brown)
9/5/2012,vs Simpson College,L,0-2,(1-1-1),,79,
9/9/2012,at UWP,L,1-2,(1-2-1),,75,Kanatip Winichakul (0) (Omeed Kashef)
9/15/2012,at Lake Forest,L,0-1,"(1-3-1,0-1-0)",0-1-0,0,
9/16/2012,at Carroll University,L,0-2,"(1-4-1, 0-2-0 MWC)",0-2-0 MWC,123,
9/22/2012,vs Illinois College,W,2-1,"(2-4-1, 1-2-0 MWC)",1-2-0 MWC,191,Benjamin Warner (0) Joseph Brown (0) (Benjamin Warner)
9/23/2012,at Buena Vista Univ.,W,2-0,(3-4-1),,140,Benjamin Warner (0) Victor Ghazal (0) (Eric Christiansen)
9/26/2012,vs Univ. of Dubuque,L,0-4,(3-5-1),,173,
9/29/2012,vs Knox College,W,4-1,"(4-5-1, 2-2-0 MWC)",2-2-0 MWC,297,Joseph Brown (0) Victor Ghazal (0) Elliot Meyer (0) (Victor Ghazal)  Elliot Meyer (0)
9/30/2012,vs Cornell College,W,4-0,"(5-5-1, 3-2-0 MWC)",3-2-0 MWC,306,"Kanatip Winichakul (3) (Joseph Brown , Benjamin Warner)  Benjamin Charney (2) (Reed Caron)  Joseph Brown (6) (Lars Olsen)  Joseph Brown (7) (Elliot Meyer)"
10/6/2012,at Beloit College,L,1-2,"(5-6-1, 3-3-0 MWC)",3-3-0 MWC,100,Joseph Brown (0)
10/16/2012,vs St. Mary's Univ.,W,3-1,(6-6-1),,162,"Joseph Brown (9) (Reed Caron , Elliot Meyer)  Gabe Singer (1) Joseph Brown (10)"
10/20/2012,vs Lawrence University,W,1-0,"(7-6-1, 4-3-0 MWC)",4-3-0 MWC,186,Victor Ghazal (3) (Joseph Brown)
10/21/2012,vs St. Norbert College,L,0-1,"(7-7-1, 4-4-0 MWC)",4-4-0 MWC,207,
10/27/2012,at Monmouth College,W,5-1,"(8-7-1, 5-4-0)",5-4-0,50,"Elliot Meyer (3) (Reed Caron)  Reed Caron (2) (Benjamin Warner , Michael Hurley)  Michael Hurley (1) (Joseph Brown)  Elliot Meyer (4) (Benjamin Warner)  Joseph Brown (11) (Elliot Meyer)"
10/28/2012,vs Ripon College,W,2-1,"(9-7-1, 6-4-0 MWC)",6-4-0 MWC,271,Joseph Brown (12) (Benjamin Warner)  Victor Ghazal (4) (Benjamin Warner)
11/2/2012,at Lake Forest,L,0-1,(9-8-1),,271,
