#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Tyree, Isaiah 00Tyree, Isaiah",10,10,900:00,10,1.0,43,0.811,6.0,4.0,0.0,2,54,View Bio
,Total,10,-,900:00,10,1.0,43,0.811,6.0,4.0,0.0,2,54,
,Opponents,10,-,900:00,19,1.9,59,0.756,,,,1,118,
