Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,32,23
Goals Per Game G/AVG,1.78,1.28
Shots SH,218,197
Shots Per Game SH/AVG,12.1,10.9
Shots Percentage SH%,0.147,0.117
Shots On Goal SOG,118-218,108-197
Shots On Goal Percentage SOG%,0.541,0.548
Penalties,Penalties,Penalties
Yellow Cards YC,10,22
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,21,12
Saves S,85,86
Fouls F,123,142
Corner Kicks CK,82,70
Penalty Kicks: Goals-Attempts PG-PA,3-6,0-1
