Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2012,Coe College,1-5,1,1,3,14,0.071,10,0.714,1-0,0,0-0,1034
9/2/2012,Central College,2-2,2,1,5,16,0.125,7,0.438,2-0,0,0-1,1304
9/5/2012,Simpson College,2-0,2,1,5,18,0.111,5,0.278,1-0,1,0-0,999
9/9/2012,UWP,2-1,2,2,6,18,0.111,7,0.389,3-0,1,0-0,989
9/15/2012,Lake Forest,1-0,1,0,2,11,0.091,3,0.273,1-0,1,0-0,990
9/16/2012,Carroll University,2-0,2,2,6,12,0.167,5,0.417,0-0,1,0-0,1028
9/22/2012,Illinois College,1-2,1,0,2,8,0.125,5,0.625,2-0,0,0-0,990
9/23/2012,Buena Vista Univ.,0-2,0,0,0,5,0.0,1,0.2,0-0,0,0-0,1059
9/26/2012,Univ. of Dubuque,4-0,4,2,10,18,0.222,14,0.778,0-0,1,0-0,1079
9/29/2012,Knox College,1-4,1,0,2,4,0.25,5,1.25,2-0,0,0-0,976
9/30/2012,Cornell College,0-4,0,0,0,3,0.0,1,0.333,1-0,0,0-0,984
10/6/2012,Beloit College,2-1,2,2,6,16,0.125,10,0.625,1-0,1,0-0,0
10/16/2012,St. Mary's Univ.,1-3,1,0,2,9,0.111,6,0.667,3-0,0,0-0,1047
10/20/2012,Lawrence University,0-1,0,0,0,10,0.0,5,0.5,3-0,0,0-0,983
10/21/2012,St. Norbert College,1-0,1,0,2,9,0.111,7,0.778,0-0,1,0-0,1009
10/27/2012,Monmouth College,1-5,1,0,2,7,0.143,6,0.857,0-0,0,0-0,0
10/28/2012,Ripon College,1-2,1,0,2,10,0.1,6,0.6,1-0,0,0-0,1019
11/2/2012,Lake Forest,1-0,1,1,3,9,0.111,5,0.556,1-0,1,0-0,990
Total,,23-32,23,12,58,197,0.117,108,0.548,22-0,8,0-1,16480
Grinnell College,,-,32,21,85,218,0.147,118,0.541,10-0,9,-,16295
