Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lieberman, Matthew",JR-3,4:23.45,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Harvey, Ben",SO-2,4:29.43,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
