Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2013,Coe,3-2,3,2,8,7,0.429,5,0.714,1-0,1,0-0,997
9/3/2013,Central College,2-1,2,2,6,5,0.4,3,0.6,1-0,1,0-0,991
9/6/2013,Augustana,3-0,3,2,8,22,0.136,8,0.364,2-0,1,0-0,991
9/8/2013,Buena Vista Univ.,2-3,2,1,5,8,0.25,4,0.5,1-0,0,0-0,995
9/14/2013,Nebraska Wesleyan,0-2,0,0,0,11,0.0,6,0.545,0-0,0,0-0,1005
9/18/2013,Simpson,5-1,5,3,13,19,0.263,9,0.474,0-0,1,0-0,998
9/21/2013,Lake Forest College,1-0,1,0,2,9,0.111,3,0.333,1-0,1,0-0,1007
9/22/2013,Carroll University,6-0,6,5,17,16,0.375,12,0.75,0-0,1,0-0,1088
9/28/2013,Beloit College,1-4,1,0,2,7,0.143,6,0.857,0-0,0,0-1,995
10/5/2013,Knox College,2-1,2,1,5,23,0.087,15,0.652,0-0,1,0-0,0
10/9/2013,Univ. of Dubuque,1-0,1,0,2,16,0.063,8,0.5,0-0,1,0-0,1055
10/12/2013,Monmouth College,0-2,0,0,0,4,0.0,2,0.5,1-0,0,0-0,959
10/13/2013,UW-Platteville,1-0,1,1,3,13,0.077,5,0.385,0-0,1,0-0,1085
10/19/2013,Ripon College,0-1,0,0,0,3,0.0,1,0.333,1-0,0,0-0,928
10/20/2013,Cornell College,0-4,0,0,0,1,0.0,0,0.0,0-0,0,0-0,995
10/26/2013,Lawrence University,1-2,1,2,4,14,0.071,4,0.286,1-0,0,0-0,973
10/27/2013,St. Norbert College,3-0,3,3,9,21,0.143,0,0.0,1-0,1,0-0,0
11/3/2013,Illinois College,1-0,1,1,3,9,0.111,3,0.333,1-0,1,0-0,991
Total,,32-23,32,23,87,208,0.154,94,0.452,11-0,11,0-1,16053
Grinnell College,,-,23,19,65,220,0.105,96,0.436,18-0,7,-,16085
