Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,23,32
Goals Per Game G/AVG,1.28,1.78
Shots SH,220,208
Shots Per Game SH/AVG,12.2,11.6
Shots Percentage SH%,0.105,0.154
Shots On Goal SOG,96-220,94-208
Shots On Goal Percentage SOG%,0.436,0.452
Penalties,Penalties,Penalties
Yellow Cards YC,18,11
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,19,23
Saves S,65,73
Fouls F,140,134
Corner Kicks CK,69,68
Penalty Kicks: Goals-Attempts PG-PA,1-1,0-1
