0,1,2
POINTS,2,Central College (9/3/2013) Knox College (10/5/2013)
GOALS,1,Central College (9/3/2013) Simpson (9/18/2013) Knox College (10/5/2013) Ripon College (10/19/2013)
ASSISTS,1,Simpson (9/18/2013) Ripon College (10/19/2013)
SHOTS,2,Carroll University (9/22/2013) UW-Platteville (10/13/2013)
SHOTS ON GOAL,1,Lake Forest College (9/21/2013)
SAVES,1,Central College (9/3/2013) Ripon College (10/19/2013)
FOULS,3,Buena Vista Univ. (9/8/2013)
CORNER KICKS,1,Ripon College (10/19/2013)
