#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"May, Major 1May, Major",12,8,785:38,15,1.72,46,0.754,4.0,5.0,0.0,2,76,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",12,10,850:02,17,1.8,28,0.622,3.0,6.0,0.0,0,50,View Bio
,Total,18,-,1635:40,32,1.76,74,0.698,7.0,11.0,0.0,2,126,
,Opponents,18,-,1635:40,23,1.27,78,0.772,,,,5,137,
