#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"May, Major 1May, Major",8,6,594:53,11,1.66,35,0.761,4.0,3.0,0.0,2,55,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",5,4,315:00,4,1.14,8,0.667,1.0,2.0,0.0,0,23,View Bio
,Total,10,-,909:53,15,1.48,43,0.741,5.0,5.0,0.0,2,78,
,Opponents,10,-,909:53,14,1.38,45,0.763,,,,4,73,
