#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
11.0,"Brown, Joseph 11Brown, Joseph",10,10,567,6,2,14,33,0.182,18,0.545,1-0,3,0-0,View Bio
3.0,"Ghazal, Victor 3Ghazal, Victor",10,9,358,4,4,12,31,0.129,11,0.355,0-0,1,0-0,View Bio
21.0,"Brule, Nicholas 21Brule, Nicholas",10,5,201,2,0,4,5,0.4,2,0.4,0-0,1,0-0,
10.0,"Hurley, Michael 10Hurley, Michael",10,10,525,0,3,3,12,0.0,5,0.417,3-0,0,0-0,View Bio
4.0,"Meyer, Elliot 4Meyer, Elliot",10,10,575,1,1,3,9,0.111,5,0.556,0-0,0,0-0,View Bio
16.0,"Warner, Benjamin 16Warner, Benjamin",10,9,322,1,1,3,9,0.111,7,0.778,0-0,0,0-0,View Bio
7.0,"Decoster, Rockne 7Decoster, Rockne",10,5,344,0,1,1,9,0.0,1,0.111,0-0,0,0-0,View Bio
26.0,"Edgerton, Ezra 26Edgerton, Ezra",10,0,213,0,1,1,2,0.0,0,0.0,0-0,0,0-0,View Bio
17.0,"Leitson, David 17Leitson, David",6,0,210,0,1,1,3,0.0,2,0.667,1-0,0,0-0,View Bio
2.0,"Alexrod, Sandor 2Alexrod, Sandor",8,1,170,0,0,0,1,0.0,1,1.0,1-0,0,0-0,
8.0,"Botto, Marshall 8Botto, Marshall",3,0,82,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12.0,"Brown, Jerry 12Brown, Jerry",10,10,701,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
20.0,"Bulman, Jeremy 20Bulman, Jeremy",3,0,49,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Charney, Benjamin 23Charney, Benjamin",1,0,42,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
14.0,"Christiansen, Eric 14Christiansen, Eric",6,4,158,0,0,0,0,0.0,0,0.0,2-0,0,0-0,View Bio
24.0,"Dooley, Timothy 24Dooley, Timothy",8,0,175,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
5.0,"Eng, Lukas 5Eng, Lukas",10,0,304,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
28.0,"Froikin, Caelum 28Froikin, Caelum",7,1,200,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Graves, Christopher 25Graves, Christopher",9,0,266,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
29.0,"Kakkar, Ambar 29Kakkar, Ambar",1,0,6,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
9.0,"Kashef, Omeed 9Kashef, Omeed",2,0,0,0,0,0,1,0.0,1,1.0,0-0,0,0-0,
27.0,"Lavin, Joshua 27Lavin, Joshua",7,6,396,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
19.0,"Liebman, Zachary 19Liebman, Zachary",6,4,371,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
1.0,"May, Major 1May, Major",9,6,405,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
22.0,"Narum, Pearse 22Narum, Pearse",10,10,556,0,0,0,0,0.0,0,0.0,2-0,0,0-0,View Bio
15.0,"Saenz, Joe 15Saenz, Joe",9,6,502,0,0,0,2,0.0,1,0.5,3-0,0,0-0,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",5,4,315,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,10,-,8013,14,14,42,119,0.118,54,0.454,18-0,5,0-0,
,Opponent,10,-,7936,15,12,42,107,0.14,46,0.43,11-0,5,0-1,
