Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2013,Coe,3-2,90:00,2,2.0,5,0.714,1,0,0,0,17
9/3/2013,Central College,2-1,90:00,1,1.5,1,0.5,1,0,0,0,0
9/6/2013,Augustana,3-0,90:00,0,1.0,5,1.0,1,0,0,1,0
9/8/2013,Buena Vista Univ.,2-3,90:00,3,1.5,6,0.667,0,1,0,0,26
9/14/2013,Nebraska Wesleyan,0-2,90:00,2,1.6,5,0.714,0,1,0,0,0
9/18/2013,Simpson,5-1,90:00,1,1.5,9,0.9,1,0,0,0,19
9/21/2013,Lake Forest College,1-0,90:00,0,1.29,1,1.0,1,0,0,1,5
9/22/2013,Carroll University,6-0,90:00,0,1.13,0,0.0,1,0,0,1,3
9/28/2013,Beloit College,1-4,90:00,4,1.44,6,0.6,0,1,0,0,18
10/5/2013,Knox College,2-1,99:53,1,1.38,5,0.833,1,0,0,0,0
10/9/2013,Univ. of Dubuque,1-0,95:47,0,1.25,2,1.0,1,0,0,1,0
10/12/2013,Monmouth College,0-2,90:00,2,1.31,8,0.8,0,1,0,0,17
10/13/2013,UW-Platteville,1-0,90:00,0,1.21,0,0.0,1,0,0,1,2
10/19/2013,Ripon College,0-1,90:00,1,1.2,5,0.833,0,1,0,0,9
10/20/2013,Cornell College,0-4,90:00,4,1.38,13,0.765,0,1,0,0,0
10/26/2013,Lawrence University,1-2,90:00,2,1.42,2,0.5,0,1,0,0,10
10/27/2013,St. Norbert College,3-0,90:00,0,1.34,5,1.0,1,0,0,1,5
11/3/2013,Illinois College,1-0,90:00,0,1.27,0,0.0,1,0,0,1,6
Totals,,-,1634,23,1.27,78,0.772,11,7,0,7,137
Grinnell College,,-,1635:40,32,1.76,74,0.698,7,11,0,2,126
