Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/31/2013,at Coe,L,2-3,(0-1-0),,125,Victor Ghazal (1) Elliot Meyer (1)
9/3/2013,at Central College,L,1-2,(0-2),,115,Victor Ghazal (2)
9/6/2013,at Augustana,L,0-3,(0-3-0),,222,
9/8/2013,vs Buena Vista Univ.,W,3-2,(1-3),,91,Victor Ghazal (0) (Joseph Brown)  Benjamin Warner (0) Victor Ghazal (0) (Joseph Brown)
9/14/2013,vs Nebraska Wesleyan,W,2-0,(2-3-0),,79,Joseph Brown (0) (Victor Ghazal)  Victor Ghazal (0) (Benjamin Warner)
9/18/2013,at Simpson,L,1-5,(2-4),,273,Joseph Brown (2) (Omeed Kashef)
9/21/2013,vs Lake Forest College,L,0-1,"(2-5-0, 0-1-0 MWC)",0-1-0 MWC,131,
9/22/2013,vs Carroll University,L,0-6,"(2-6-0, 0-2-0 MWC)",0-2-0 MWC,89,
9/28/2013,vs Beloit College,W,4-1,"(3-6-0, 1-2-0 MWC)",1-2-0 MWC,78,"Elliot Meyer (0) (Victor Ghazal)  Victor Ghazal (0) (Ezra Edgerton)  Nicholas Brule (0) (Joseph Brown)  Victor Ghazal (0) (David Leitson , Michael Hurley)"
10/5/2013,at Knox College,L,1-2,"(3-7-0, 1-3-0 MWC)",1-3-0 MWC,250,Joseph Brown (3)
10/9/2013,at Univ. of Dubuque,L,0-1,(3-8-0),,110,
10/12/2013,vs Monmouth College,W,2-0,"(4-8-0, 2-3-0 MWC)",2-3-0 MWC,106,Joseph Brown (0) (Victor Ghazal)  Benjamin Warner (0) (Elliot Meyer)
10/13/2013,vs UW-Platteville,L,0-1,(4-9-0),,64,
10/19/2013,vs Ripon College,W,1-0,"(5-9-0, 3-3-0 MWC)",3-3-0 MWC,60,Joseph Brown (0) (Rockne Decoster)
10/20/2013,at Cornell College,W,4-0,(6-9 (4-3 MWC)),,150,"Nicholas Brule (0) (Benjamin Warner , Joseph Brown)  Victor Ghazal (0) Victor Ghazal (0) (Michael Hurley)  Joseph Brown (0) (Victor Ghazal)"
10/26/2013,at Lawrence University,W,2-1,"(7-9-0, 5-3-0 MWC)",5-3-0 MWC,198,Joseph Brown (0) (Victor Ghazal)  Joseph Brown (0) (Michael Hurley)
10/27/2013,at St. Norbert College,L,0-3,"(7-10, 5-4 MWC)",5-4 MWC,200,
11/3/2013,at Illinois College,L,0-1,"(7-11, 5-5 MWC)",5-5 MWC,175,
