Statistic,High,Opponent
POINTS,13,Beloit College (9/28/2013)
GOALS,4,Beloit College (9/28/2013) Cornell College (10/20/2013)
ASSISTS,5,Beloit College (9/28/2013)
SHOTS,34,Cornell College (10/20/2013)
SHOTS ON GOAL,17,Cornell College (10/20/2013)
SAVES,13,Knox College (10/5/2013)
FOULS,16,Beloit College (9/28/2013)
CORNER KICKS,10,Cornell College (10/20/2013)
