Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2013,at Coe,2-3,2,0,4,17,0.118,7,0.412,0-0,0,0-0,987
9/3/2013,at Central College,1-2,1,0,2,10,0.1,2,0.2,0-0,0,1-1,990
9/6/2013,at Augustana,0-3,0,0,0,9,0.0,5,0.556,0-0,0,0-0,990
9/8/2013,vs Buena Vista Univ.,3-2,3,2,8,26,0.115,9,0.346,1-0,1,0-0,989
9/14/2013,vs Nebraska Wesleyan,2-0,2,2,6,13,0.154,7,0.538,1-0,1,0-0,992
9/18/2013,at Simpson,1-5,1,1,3,19,0.053,10,0.526,0-0,0,0-0,1057
9/21/2013,vs Lake Forest College,0-1,0,0,0,5,0.0,1,0.2,1-0,0,0-0,974
9/22/2013,vs Carroll University,0-6,0,0,0,3,0.0,0,0.0,3-0,0,0-0,1010
9/28/2013,vs Beloit College,4-1,4,5,13,18,0.222,10,0.556,2-0,1,0-0,1048
10/5/2013,at Knox College,1-2,1,0,2,9,0.111,6,0.667,3-0,0,0-0,0
10/9/2013,at Univ. of Dubuque,0-1,0,0,0,5,0.0,2,0.4,0-0,0,0-0,1055
10/12/2013,vs Monmouth College,2-0,2,2,6,17,0.118,10,0.588,2-0,1,0-0,990
10/13/2013,vs UW-Platteville,0-1,0,0,0,2,0.0,0,0.0,1-0,0,0-0,1012
10/19/2013,vs Ripon College,1-0,1,1,3,9,0.111,6,0.667,2-0,1,0-0,989
10/20/2013,at Cornell College,4-0,4,4,12,34,0.118,17,0.5,0-0,1,0-0,1005
10/26/2013,at Lawrence University,2-1,2,2,6,10,0.2,4,0.4,1-0,1,0-0,1007
10/27/2013,at St. Norbert College,0-3,0,0,0,8,0.0,0,0.0,1-0,0,0-0,0
11/3/2013,at Illinois College,0-1,0,0,0,6,0.0,0,0.0,0-0,0,0-0,990
Total,,23-32,23,19,65,220,0.105,96,0.436,18-0,7,1-1,16085
Opponent,,-,32,23,87,208,0.154,94,0.452,11-0,11,-,16053
