Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/31/2013,at Coe,2-3,2/3,0/2,17/7,7/5,0/0,0/1,0/0
9/3/2013,at Central College,1-2,1/2,0/2,10/5,2/3,4/2,0/1,0/0
9/6/2013,at Augustana,0-3,0/3,0/2,9/22,5/8,3/5,0/2,0/0
9/8/2013,vs Buena Vista Univ.,3-2,3/2,2/1,26/8,9/4,5/4,1/1,0/0
9/14/2013,vs Nebraska Wesleyan,2-0,2/0,2/0,13/11,7/6,4/9,1/0,0/0
9/18/2013,at Simpson,1-5,1/5,1/3,19/19,10/9,4/5,0/0,0/0
9/21/2013,vs Lake Forest College,0-1,0/1,0/0,5/9,1/3,2/2,1/1,0/0
9/22/2013,vs Carroll University,0-6,0/6,0/5,3/16,0/12,3/2,3/0,0/0
9/28/2013,vs Beloit College,4-1,4/1,5/0,18/7,10/6,9/0,2/0,0/0
10/5/2013,at Knox College,1-2,1/2,0/1,9/23,6/15,5/8,3/0,0/0
10/9/2013,at Univ. of Dubuque,0-1,0/1,0/0,5/16,2/8,6/8,0/0,0/0
10/12/2013,vs Monmouth College,2-0,2/0,2/0,17/4,10/2,3/3,2/1,0/0
10/13/2013,vs UW-Platteville,0-1,0/1,0/1,2/13,0/5,0/5,1/0,0/0
10/19/2013,vs Ripon College,1-0,1/0,1/0,9/3,6/1,1/2,2/1,0/0
10/20/2013,at Cornell College,4-0,4/0,4/0,34/1,17/0,10/0,0/0,0/0
10/26/2013,at Lawrence University,2-1,2/1,2/2,10/14,4/4,3/5,1/1,0/0
10/27/2013,at St. Norbert College,0-3,0/3,0/3,8/21,0/0,2/5,1/1,0/0
11/3/2013,at Illinois College,0-1,0/1,0/1,6/9,0/3,5/3,0/1,0/0
Totals,,,23/32,19/23,220/208,96/94,69/68,18/11,0/0
