Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Young, Jordan",SO-2,12.20m,"40' 0.5""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Young, Jordan",SO-2,11.67m,"38' 3.5""",Wartburg Invitational,"Feb 18, 2012"
,"Young, Jordan",SO-2,11.07m,"36' 4""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Kubicek, Heather",SR-4,10.89m,"35' 8.75""",Wartburg Invitational,"Feb 18, 2012"
,"Kubicek, Heather",SR-4,10.80m,"35' 5.25""",2012 Hilltop Invite,"Feb 4, 2012"
,"Kubicek, Heather",SR-4,10.58m,"34' 8.5""",Wartburg Invitational,"Feb 18, 2012"
,"Young, Jordan",SO-2,10.01m,"32' 10.25""",Dutch Athletics Classic,"Jan 27, 2012"
,"Young, Jordan",SO-2,9.99m,"32' 9.5""",Darren Young Classic,"Feb 11, 2012"
,"Kubicek, Heather",SR-4,9.78m,"32' 1""",2012 Hilltop Invite,"Feb 4, 2012"
,"Kubicek, Heather",SR-4,9.66m,"31' 8.5""",Darren Young Classic,"Feb 11, 2012"
,"Kubicek, Heather",SR-4,9.11m,"29' 10.75""",Darren Young Classic,"Feb 11, 2012"
,"Young, Jordan",SO-2,8.97m,"29' 5.25""",Dutch Athletics Classic,"Jan 27, 2012"
,"Young, Jordan",SO-2,8.87m,"29' 1.25""",Dutch Athletics Classic,"Jan 27, 2012"
,"Young, Jordan",SO-2,8.20m,"26' 11""",Darren Young Classic,"Feb 11, 2012"
,"Manley, Devon",FR-1,7.16m,"23' 6""",Wartburg Invitational,"Feb 18, 2012"
,"Manley, Devon",FR-1,6.76m,"22' 2.25""",Wartburg Invitational,"Feb 18, 2012"
,"Manley, Devon",FR-1,6.66m,"21' 10.25""",Wartburg Invitational,"Feb 18, 2012"
,"Manley, Devon",FR-1,6.65m,"21' 10""",Darren Young Classic,"Feb 11, 2012"
,"Manley, Devon",FR-1,5.77m,"18' 11.25""",Darren Young Classic,"Feb 11, 2012"
