0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Thornton Walker,20,1537,70,3,11,2,4,4,+5,76.9,35,2708,77.4
Hayden Somach,6,468,72,-,4,-,1,1,+7,78.0,36,2830,78.6
Eshaan Sethi,19,1500,73,-,11,-,1,3,+7,78.9,47,3696,78.6
Ian Strawn,20,1588,70,1,11,-,1,2,+8,79.4,52,4232,81.4
Luke McCann,15,1209,71,-,8,-,1,1,+9,80.6,45,3667,81.5
Colin Byrnes,15,1217,73,-,8,-,-,1,+10,81.1,15,1217,81.1
John Robinson,4,328,77,-,3,-,-,1,+11,82.0,18,1555,86.4
David Wu,2,181,79,-,2,-,-,-,+21,90.5,2,181,90.5
Kevin Carpenter,4,371,88,-,2,-,-,-,+21,92.8,31,2603,84.0
Henry Horn,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,20,6257,286,4,11,2,8,13,+26,312.9,,,
