0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Highland Championship,"Sep 1-2, 2023",2,8,16,95,+40,616
Iowa Central Fall Kickoff,"Sep 11, 2023",1,3,0,0,+29,313
BVU Fall Invite,"Sep 16-17, 2023",2,5,12,68,+35,611
Iowa Central Dual,"Sep 30, 2023",1,1,2,17,+6,286
Central Fall Classic,"Oct 2-3, 2023",2,9,17,100,+63,639
Lyon Spring Break Classic,"March 21, 2024",1,2,3,15,+33,321
Linda Lowery Invitational,March 25-26 2024,2,10,12,71,+72,648
Rhodes Spring Classic,"April 7-8, 2024",3,7,9,56,+82,946
2024 Knox College Invite,"April 13-14, 2024",2,5,8,57,+70,646
Grinnell Mini-Invite,"April 20, 2024",1,2,5,27,+45,325
2024 SLIAC Championships,"April 28-30, 2024",3,6,13,65,+54,906
