Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Young, Shannon",SR-4,2:17.36,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Young, Shannon",SR-4,2:18.07,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Young, Shannon",SR-4,2:19.36,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Young, Shannon",SR-4,2:20.24,2017 Cornell Invite,"Apr 8, 2017"
,"LaVerdiere, Tori",FR-1,2:28.60,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"LaVerdiere, Tori",FR-1,2:29.53,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Arredondo, Nicole",SO-2,2:30.63,2017 Dick Young Invitational,"Apr 22, 2017"
,"LaVerdiere, Tori",FR-1,2:31.07,Midwest Conference Outdoor Championship,"May 12, 2017"
,"LaVerdiere, Tori",FR-1,2:32.21,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"LaVerdiere, Tori",FR-1,2:33.44,2017 Cornell Invite,"Apr 8, 2017"
,"Yndestad, Karin",JR-3,2:35.08,2017 Dick Young Invitational,"Apr 22, 2017"
,"LaVerdiere, Tori",FR-1,2:35.08,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Burgess, Emily",SO-2,2:35.22,2017 Dick Young Invitational,"Apr 22, 2017"
,"Yndestad, Karin",JR-3,2:36.07,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Teagle, Whitney",JR-3,2:36.53,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Schmiechen, Zoe",JR-3,2:37.36,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Bambi, Simona",FR-1,2:39.77,2017 Cornell Invite,"Apr 8, 2017"
,"Frankel, Lauren",SO-2,2:45.84,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Frankel, Lauren",SO-2,2:57.33,Monmouth Fighting Scots Outdoor,"May 6, 2017"
