#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Smith, Kylie-Ann 1Smith, Kylie-Ann",50,19,2.0,14.0,0.28,2,0.04,3,22,-0.045,192,3.84,12,0.24,18,View Bio
2.0,"Adam, Amelia 2Adam, Amelia",30,11,1.0,8.0,0.27,0,0.0,1,4,-0.25,2,0.07,8,0.27,6,View Bio
4.0,"Lim, Gracie 4Lim, Gracie",92,27,1.0,24.0,0.26,2,0.02,3,10,-0.1,15,0.16,22,0.24,24,View Bio
6.0,"Hurst, Marlowe 6Hurst, Marlowe",10,7,0.0,3.0,0.3,1,0.1,1,4,0.0,47,4.7,2,0.2,5,View Bio
8.0,"Leonard, Millie 8Leonard, Millie",114,31,31.0,341.0,2.99,287,2.52,97,690,0.275,6,0.05,12,0.11,23,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",48,15,9.0,64.5,1.34,47,0.98,18,161,0.18,3,0.06,0,0.0,1,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",113,31,22.0,255.5,2.26,220,1.95,108,821,0.136,11,0.1,9,0.08,15,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",109,30,29.0,431.5,3.96,385,3.53,166,1060,0.207,31,0.28,33,0.3,43,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",113,31,30.0,120.5,1.07,53,0.47,18,236,0.148,825,7.3,58,0.51,65,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",114,31,0.0,23.0,0.2,4,0.04,3,31,0.032,79,0.69,19,0.17,23,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",78,24,17.0,89.0,1.14,62,0.79,13,202,0.243,1,0.01,0,0.0,2,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",112,31,2.0,46.0,0.41,2,0.02,1,10,0.1,12,0.11,44,0.39,32,View Bio
23.0,"Sullivan, Keira 23Sullivan, Keira",107,31,27.0,265.0,2.48,241,2.25,115,807,0.156,1,0.01,5,0.05,1,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",100,30,15.0,75.0,0.75,54,0.54,24,230,0.13,3,0.03,9,0.09,5,View Bio
,Total,114,31,,1760.0,15.44,1360,11.93,571,4288,0.184,1228,10.77,233,2.04,263,
,Opponents,114,31,,1644.0,14.42,1274,11.18,662,4285,0.143,1146,10.05,202,1.77,195,
