#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Smith, Kylie-Ann 1Smith, Kylie-Ann",13,20,1.54,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
2.0,"Adam, Amelia 2Adam, Amelia",3,4,1.33,1,9,0.889,0.33,0,0,0.0,0.0,0,0,View Bio
4.0,"Lim, Gracie 4Lim, Gracie",25,32,1.28,3,71,0.958,0.12,0,0,0.0,0.0,0,0,View Bio
6.0,"Hurst, Marlowe 6Hurst, Marlowe",4,7,1.75,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
8.0,"Leonard, Millie 8Leonard, Millie",28,19,0.68,2,11,0.818,0.07,3,11,14.0,0.5,0,0,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",16,9,0.56,0,0,0.0,0.0,1,6,7.0,0.44,2,0,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",27,22,0.81,8,39,0.795,0.3,1,6,7.0,0.26,0,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",27,85,3.15,9,149,0.94,0.33,1,1,2.0,0.07,0,0,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",27,54,2.0,0,8,1.0,0.0,1,3,4.0,0.15,0,0,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",28,160,5.71,7,176,0.96,0.25,0,0,0.0,0.0,0,0,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",17,3,0.18,0,0,0.0,0.0,4,5,9.0,0.53,0,0,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",28,35,1.25,7,39,0.821,0.25,0,0,0.0,0.0,0,0,View Bio
23.0,"Sullivan, Keira 23Sullivan, Keira",24,17,0.71,0,4,1.0,0.0,0,7,7.0,0.29,2,0,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",28,11,0.39,0,0,0.0,0.0,1,1,2.0,0.07,0,0,View Bio
,Total,28,478,17.07,49,506,0.903,1.75,12,40,32.0,1.14,4,0,
,Opponents,28,462,16.5,72,556,0.871,2.57,8,62,39.0,1.39,4,3,
