#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Smith, Kylie-Ann 1Smith, Kylie-Ann",50,80,1.6,0,1,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
2.0,"Adam, Amelia 2Adam, Amelia",30,34,1.13,1,44,0.977,0.03,0,0,0.0,0.0,0,0,View Bio
4.0,"Lim, Gracie 4Lim, Gracie",92,135,1.47,13,285,0.954,0.14,0,0,0.0,0.0,0,0,View Bio
6.0,"Hurst, Marlowe 6Hurst, Marlowe",10,18,1.8,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
8.0,"Leonard, Millie 8Leonard, Millie",114,75,0.66,2,22,0.909,0.02,12,60,72.0,0.63,3,0,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",48,22,0.46,0,0,0.0,0.0,4,27,31.0,0.65,3,0,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",113,117,1.04,25,185,0.865,0.22,9,35,44.0,0.39,0,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",109,344,3.16,47,678,0.931,0.43,5,17,22.0,0.2,2,1,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",113,258,2.28,1,11,0.909,0.01,1,17,18.0,0.16,1,1,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",114,584,5.12,34,673,0.949,0.3,0,0,0.0,0.0,0,0,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",78,17,0.22,1,2,0.5,0.01,11,32,43.0,0.55,4,0,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",112,151,1.35,14,100,0.86,0.13,0,0,0.0,0.0,1,0,View Bio
23.0,"Sullivan, Keira 23Sullivan, Keira",107,83,0.78,11,167,0.934,0.1,6,26,32.0,0.3,5,1,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",100,50,0.5,0,3,1.0,0.0,5,14,19.0,0.19,1,0,View Bio
,Total,114,1968,17.26,202,2171,0.907,1.77,53,228,167.0,1.46,20,3,
,Opponents,114,1996,17.51,233,2226,0.895,2.04,37,262,168.0,1.47,13,5,
