Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/30/2024,Fontbonne,W,3,44,17,112,0.241,37,6,9,4,43,1,6,0,4.0,0,54.0
8/30/2024,Saint Mary's (MN),W,3,33,14,110,0.173,27,10,8,4,50,3,4,0,5.0,0,48.0
8/31/2024,St. Scholastica,W,4,46,17,145,0.2,38,13,13,10,59,0,4,0,2.0,0,61.0
8/31/2024,Bethany Lutheran,W,3,34,10,102,0.235,28,5,10,4,53,3,6,0,6.0,0,45.0
9/03/2024,at Buena Vista,W,3,37,17,112,0.179,35,8,7,4,56,4,0,2,4.0,0,49.0
9/06/2024,vs Wis.-Platteville,L,3,23,9,72,0.194,21,3,5,9,26,1,8,1,5.0,0,31.0
9/06/2024,at Coe,W,3,38,12,114,0.228,35,7,7,2,54,4,4,0,6.0,0,51.0
9/11/2024,Neb. Wesleyan,L,5,58,20,203,0.187,52,5,13,8,95,3,6,0,6.0,0,69.0
9/13/2024,vs Wis.-Superior,W,5,67,27,216,0.185,64,5,11,5,108,4,16,1,12.0,0,84.0
9/13/2024,at Macalester,W,3,44,16,126,0.222,39,7,5,8,64,1,2,1,2.0,0,53.0
9/14/2024,vs Lewis & Clark,W,4,57,21,168,0.214,53,10,11,11,73,1,8,0,5.0,0,72.0
9/14/2024,vs Carleton,L,4,44,27,169,0.101,40,9,7,15,94,1,4,1,3.0,0,56.0
9/18/2024,Simpson,W,5,53,23,172,0.174,47,9,10,8,74,0,6,0,3.0,0,65.0
9/20/2024,Loras,W,3,33,15,95,0.189,27,3,8,4,34,3,8,0,7.0,0,43.0
9/20/2024,Augustana (IL),L,5,61,29,189,0.169,54,6,11,4,84,0,14,0,7.0,0,74.0
9/24/2024,at Wartburg,L,4,39,17,144,0.153,39,5,8,11,65,2,2,3,3.0,0,47.0
9/27/2024,Central (IA),W,5,59,24,196,0.179,52,10,6,6,98,2,12,0,8.0,0,77.0
10/01/2024,Beloit,W,3,43,10,106,0.311,41,8,10,5,53,0,12,0,6.0,0,57.0
10/05/2024,Luther,W,3,39,9,93,0.323,38,10,9,2,40,1,8,0,5.0,0,54.0
10/12/2024,at Lawrence,W,3,46,14,113,0.283,40,12,8,6,38,2,0,0,2.0,0,60.0
10/18/2024,at Illinois Col.,W,4,57,24,172,0.192,52,12,10,8,91,1,2,1,2.0,0,71.0
10/19/2024,at Knox,W,3,37,13,95,0.253,36,14,11,4,44,1,4,1,3.0,0,54.0
10/23/2024,at NYU,L,3,24,26,107,-0.019,23,8,5,6,41,1,4,1,3.0,1,35.0
10/25/2024,at Kean,L,3,32,17,101,0.149,29,6,5,10,44,1,10,1,6.0,1,44.0
10/25/2024,vs Stevens,L,4,51,20,180,0.172,45,3,7,4,82,3,12,1,9.0,1,63.0
11/01/2024,Ripon,W,3,33,11,101,0.218,27,8,11,7,54,1,4,0,3.0,0,44.0
11/02/2024,Lake Forest,W,3,38,8,91,0.33,33,6,5,3,43,3,2,0,4.0,0,48.0
11/06/2024,at Cornell College,L,4,39,31,160,0.05,35,7,6,10,68,1,6,2,4.0,0,50.0
11/09/2024,Monmouth (IL),W,5,68,21,199,0.236,64,5,13,6,87,3,10,0,8.0,0,81.0
11/15/2024,vs Monmouth (IL),W,4,49,30,187,0.102,47,7,8,7,103,2,26,0,15.0,0,71.0
11/16/2024,at Cornell College,L,4,34,22,138,0.087,30,6,6,7,50,0,18,4,9.0,0,49.0
,Grinnell,,114,1360,571,4288,0.184,1228,233,263,202,1968,53,228,20,167.0,3,1760.0
,Opponents,,114,1274,662,4285,0.143,1146,202,195,233,1996,37,262,13,168.0,5,1644.0
