#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
12,"Marx, Julian 12 Marx, Julian",18,10.0,311,17.3,110,252,0.437,69,168,0.411,41,49,0.837,330,18.3,4,22,26,1.4,30,56,3.1,18,22,0,View Bio
05,"Curta, Vinny 05 Curta, Vinny",18,5.0,269,14.9,87,190,0.458,15,55,0.273,72,101,0.713,261,14.5,19,37,56,3.1,46,76,4.2,48,28,2,View Bio
03,"Parker, Kyle 03 Parker, Kyle",14,5.0,230,16.4,70,202,0.347,42,138,0.304,25,39,0.641,207,14.8,13,12,25,1.8,32,36,2.6,29,17,1,View Bio
21,"Bayer, Braedon 21 Bayer, Braedon",4,2.0,66,16.5,18,49,0.367,9,31,0.29,11,20,0.55,56,14.0,5,9,14,3.5,11,15,3.8,10,5,0,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",18,4.0,287,15.9,66,166,0.398,42,122,0.344,9,17,0.529,183,10.2,16,6,22,1.2,39,18,1.0,22,21,0,View Bio
10,"Jasaitis , Matt 10 Jasaitis , Matt",17,12.0,273,16.1,50,131,0.382,43,121,0.355,12,16,0.75,155,9.1,18,9,27,1.6,33,29,1.7,22,25,1,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",18,10.0,278,15.4,55,138,0.399,51,130,0.392,15,18,0.833,176,9.8,18,44,62,3.4,57,15,0.8,9,19,9,View Bio
22,"Thomas, Danny 22 Thomas, Danny",17,10.0,239,14.1,44,86,0.512,8,30,0.267,26,29,0.897,122,7.2,16,22,38,2.2,21,25,1.5,12,10,0,View Bio
15,"Phillip, Ikaika 15 Phillip, Ikaika",18,5.0,220,12.2,41,101,0.406,18,65,0.277,25,30,0.833,125,6.9,20,14,34,1.9,40,12,0.7,12,2,2,View Bio
21,"Porter, Mike 21 Porter, Mike",13,9.0,201,15.5,19,47,0.404,10,32,0.313,7,12,0.583,55,4.2,18,10,28,2.2,34,23,1.8,17,18,0,View Bio
33,"Curta, Nick 33 Curta, Nick",18,5.0,263,14.6,36,53,0.679,0,1,0.0,11,14,0.786,83,4.6,39,48,87,4.8,48,13,0.7,15,12,19,View Bio
24,"Balcom, Nathan 24 Balcom, Nathan",18,2.0,232,12.9,13,37,0.351,13,36,0.361,0,0,0.0,39,2.2,11,13,24,1.3,27,11,0.6,7,7,0,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",17,2.0,104,6.1,17,31,0.548,11,23,0.478,2,3,0.667,47,2.8,5,10,15,0.9,9,3,0.2,5,5,0,View Bio
25,"Van Oort, Jake 25 Van Oort, Jake",2,0.0,24,12.0,2,2,1.0,0,0,0.0,0,0,0.0,4,2.0,1,8,9,4.5,6,3,1.5,3,0,2,View Bio
54,"Boehm, Griffin 54 Boehm, Griffin",18,3.0,125,6.9,9,12,0.75,0,1,0.0,4,10,0.4,22,1.2,17,16,33,1.8,12,4,0.2,4,2,2,View Bio
04,"LaMacchia, Anthony 04 LaMacchia, Anthony",14,2.0,64,4.6,5,16,0.313,5,16,0.313,0,0,0.0,15,1.1,5,1,6,0.4,5,4,0.3,0,2,0,View Bio
03,"Bynum , Reggie 03 Bynum , Reggie",5,1.0,22,4.4,3,5,0.6,2,3,0.667,0,0,0.0,8,1.6,2,0,2,0.4,3,1,0.2,0,2,0,View Bio
11,"King, Gus 11 King, Gus",18,0.0,127,7.1,10,36,0.278,9,34,0.265,2,6,0.333,31,1.7,12,6,18,1.0,15,0,0.0,3,9,0,View Bio
42,"LeMoine, Brent 42 LeMoine, Brent",5,0.0,10,2.0,2,2,1.0,1,1,1.0,0,0,0.0,5,1.0,0,1,1,0.2,1,0,0.0,0,0,0,View Bio
44,"Simon , Christian 44 Simon , Christian",6,0.0,35,5.8,2,10,0.2,2,10,0.2,0,0,0.0,6,1.0,2,1,3,0.5,1,1,0.2,2,0,0,View Bio
23,"Davis, Ryan 23 Davis, Ryan",12,2.0,37,3.1,4,7,0.571,0,1,0.0,0,3,0.0,8,0.7,5,4,9,0.8,5,1,0.1,4,1,2,View Bio
25,"Van Oort, Jake 25 Van Oort, Jake",14,1.0,135,9.6,1,11,0.091,0,6,0.0,1,3,0.333,3,0.2,18,24,42,3.0,32,8,0.6,8,2,9,View Bio
02,"Redhead, Andrew 02 Redhead, Andrew",16,0.0,52,3.3,2,4,0.5,2,4,0.5,2,5,0.4,8,0.5,8,3,11,0.7,15,2,0.1,1,1,1,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,57,39,96,5.3,0,0,0.0,7,0,0,
,Total,18,,3604,200.2,666,1588,0.419,352,1028,0.342,265,375,0.707,1949,108.28,329,359,688,38.2,522,356,19.8,258,210,50,
,Opponents,18,,3604,200.2,713,1158,0.616,55,140,0.393,465,644,0.722,1946,108.11,199,658,857,47.6,353,436,24.2,415,121,67,
