Name,GP,STL,STL/G
"#05 Curta, Vinny",23,37,1.6
"#10 Jasaitis , Matt",22,37,1.7
"#13 Johnson, Ky-Sean",23,29,1.3
"#03 Parker, Kyle",19,25,1.3
"#12 Marx, Julian",23,24,1.0
"#35 Ekstrand, Jacob",23,23,1.0
"#21 Porter, Mike",13,18,1.4
"#21 Bayer, Braedon",9,17,1.9
"#33 Curta, Nick",23,17,0.7
"#24 Balcom, Nathan",23,14,0.6
"#22 Thomas, Danny",22,13,0.6
"#11 King, Gus",23,11,0.5
"#45 Cullinane, Sean",21,5,0.2
"#15 Phillip, Ikaika",21,4,0.2
"#54 Boehm, Griffin",23,3,0.1
"#04 LaMacchia, Anthony",18,3,0.2
"#25 Van Oort, Jake",19,3,0.2
"#03 Bynum , Reggie",5,2,0.4
"#23 Davis, Ryan",16,1,0.1
"#02 Redhead, Andrew",20,1,0.1
