Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
#TM Team,22,115,5.2,67,3.0,48,2.2
"#33 Curta, Nick",23,111,4.8,50,2.2,61,2.7
"#35 Ekstrand, Jacob",23,83,3.6,24,1.0,59,2.6
"#05 Curta, Vinny",23,70,3.0,24,1.0,46,2.0
"#22 Thomas, Danny",22,55,2.5,26,1.2,29,1.3
"#25 Van Oort, Jake",19,55,2.9,20,1.1,35,1.8
"#15 Phillip, Ikaika",21,41,2.0,25,1.2,16,0.8
"#54 Boehm, Griffin",23,40,1.7,21,0.9,19,0.8
"#10 Jasaitis , Matt",22,40,1.8,24,1.1,16,0.7
"#03 Parker, Kyle",19,32,1.7,17,0.9,15,0.8
"#13 Johnson, Ky-Sean",23,30,1.3,22,1.0,8,0.3
"#24 Balcom, Nathan",23,28,1.2,14,0.6,14,0.6
"#12 Marx, Julian",23,28,1.2,6,0.3,22,1.0
"#21 Porter, Mike",13,28,2.2,18,1.4,10,0.8
"#21 Bayer, Braedon",9,23,2.6,9,1.0,14,1.6
"#11 King, Gus",23,21,0.9,13,0.6,8,0.3
"#45 Cullinane, Sean",21,18,0.9,6,0.3,12,0.6
"#44 Simon , Christian",11,15,1.4,9,0.8,6,0.5
"#02 Redhead, Andrew",20,12,0.6,8,0.4,4,0.2
"#04 LaMacchia, Anthony",18,10,0.6,7,0.4,3,0.2
"#23 Davis, Ryan",16,9,0.6,5,0.3,4,0.3
"#25 Van Oort, Jake",2,9,4.5,1,0.5,8,4.0
"#42 LeMoine, Brent",8,3,0.4,1,0.1,2,0.3
"#03 Bynum , Reggie",5,2,0.4,2,0.4,0,0.0
