Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#05 Curta, Vinny",23,85,122,0.697,3.7,5.3
"#12 Marx, Julian",23,54,62,0.871,2.3,2.7
"#03 Parker, Kyle",19,41,65,0.631,2.2,3.4
"#21 Bayer, Braedon",9,31,53,0.585,3.4,5.9
"#22 Thomas, Danny",22,28,32,0.875,1.3,1.5
"#15 Phillip, Ikaika",21,27,32,0.844,1.3,1.5
"#35 Ekstrand, Jacob",23,18,23,0.783,0.8,1.0
"#33 Curta, Nick",23,17,26,0.654,0.7,1.1
"#10 Jasaitis , Matt",22,14,19,0.737,0.6,0.9
"#13 Johnson, Ky-Sean",23,12,22,0.545,0.5,1.0
"#21 Porter, Mike",13,7,12,0.583,0.5,0.9
"#54 Boehm, Griffin",23,6,12,0.5,0.3,0.5
"#24 Balcom, Nathan",23,4,5,0.8,0.2,0.2
"#02 Redhead, Andrew",20,4,8,0.5,0.2,0.4
"#45 Cullinane, Sean",21,2,3,0.667,0.1,0.1
"#11 King, Gus",23,2,6,0.333,0.1,0.3
"#44 Simon , Christian",11,2,2,1.0,0.2,0.2
"#25 Van Oort, Jake",19,2,5,0.4,0.1,0.3
"#23 Davis, Ryan",16,0,3,0.0,0.0,0.2
