Name,GP,MIN,MIN/G
"#12 Marx, Julian",23,403,17.5
"#13 Johnson, Ky-Sean",23,356,15.5
"#35 Ekstrand, Jacob",23,350,15.2
"#05 Curta, Vinny",23,344,15.0
"#10 Jasaitis , Matt",22,340,15.5
"#33 Curta, Nick",23,339,14.7
"#03 Parker, Kyle",19,335,17.6
"#22 Thomas, Danny",22,313,14.2
"#24 Balcom, Nathan",23,298,13.0
"#15 Phillip, Ikaika",21,263,12.5
"#21 Porter, Mike",13,201,15.5
"#25 Van Oort, Jake",19,176,9.3
"#11 King, Gus",23,159,6.9
"#54 Boehm, Griffin",23,145,6.3
"#21 Bayer, Braedon",9,143,15.9
"#45 Cullinane, Sean",21,116,5.5
"#04 LaMacchia, Anthony",18,84,4.7
"#44 Simon , Christian",11,75,6.8
"#02 Redhead, Andrew",20,64,3.2
"#23 Davis, Ryan",16,41,2.6
"#25 Van Oort, Jake",2,24,12.0
"#03 Bynum , Reggie",5,22,4.4
"#42 LeMoine, Brent",8,13,1.6
