Name,GP,TO,TO/G
"#05 Curta, Vinny",23,56,2.4
"#03 Parker, Kyle",19,34,1.8
"#10 Jasaitis , Matt",22,31,1.4
"#21 Bayer, Braedon",9,30,3.3
"#13 Johnson, Ky-Sean",23,30,1.3
"#12 Marx, Julian",23,24,1.0
"#22 Thomas, Danny",22,20,0.9
"#33 Curta, Nick",23,17,0.7
"#21 Porter, Mike",13,17,1.3
"#15 Phillip, Ikaika",21,15,0.7
"#35 Ekstrand, Jacob",23,11,0.5
"#24 Balcom, Nathan",23,10,0.4
"#25 Van Oort, Jake",19,8,0.4
#TM Team,22,7,0.3
"#45 Cullinane, Sean",21,6,0.3
"#54 Boehm, Griffin",23,4,0.2
"#23 Davis, Ryan",16,4,0.3
"#11 King, Gus",23,4,0.2
"#25 Van Oort, Jake",2,3,1.5
"#44 Simon , Christian",11,3,0.3
"#02 Redhead, Andrew",20,2,0.1
