Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Silver Lake,11/14/15,125-90,35,43-96/38-68,.448/.559,21-57/1-13,.368/.077,18-32/13-20,.563-.650,40/59 -19,16/8,8/39,3/5,18/1,23/27
Crossroads,11/15/15,102-75,27,30-82/29-46,.366/.630,16-55/4-12,.291/.333,26-39/13-23,.667-.565,41/46 -5,16/23,14/38,1/4,21/5,24/24
Wartburg,11/17/15,91-105,-14,30-71/39-61,.423/.639,20-52/3-6,.385/.500,11-16/24-32,.688-.750,26/44 -18,21/19,18/20,5/0,13/12,25/17
Colorado College,11/22/15,105-90,15,34-84/34-60,.405/.567,15-45/0-1,.333/.000,22-30/22-29,.733-.759,42/40 2,18/20,18/26,4/2,16/11,24/27
Simpson,11/24/15,80-103,-23,25-75/39-74,.333/.527,16-49/7-16,.327/.438,14-20/18-27,.700-.667,43/52 -9,10/25,20/18,9/4,9/10,25/19
Beloit,11/28/15,115-118,-3,39-90/42-62,.433/.677,23-61/2-3,.377/.667,14-18/32-41,.778-.780,30/51 -21,14/24,15/27,4/1,16/4,32/18
Cornell College,12/02/15,123-120,3,38-97/44-67,.392/.657,22-69/0-5,.319/.000,25-32/32-39,.781-.821,42/49 -7,22/29,21/35,1/7,19/11,30/28
Saint Norbert,12/05/15,91-104,-13,30-81/36-54,.370/.667,17-62/1-2,.274/.500,14-17/31-42,.824-.738,34/45 -11,19/20,15/22,3/3,11/9,31/18
Monmouth College,12/08/15,135-142,-7,48-101/52-70,.475/.743,25-63/1-2,.397/.500,14-24/37-53,.583-.698,36/53 -17,25/41,9/21,0/2,13/7,38/22
Carroll (WI),12/12/15,103-109,-6,28-84/44-63,.333/.698,16-56/0-1,.286/.000,31-40/21-30,.775-.700,41/47 -6,15/25,16/27,3/8,11/8,27/28
Lawrence University,01/02/16,109-89,20,36-83/34-65,.434/.523,22-58/7-18,.379/.389,15-18/14-22,.833-.636,45/38 7,20/22,15/21,2/5,13/9,23/20
Ripon College,01/09/16,89-100,-11,34-87/36-63,.391/.571,17-63/3-8,.270/.375,4-9/25-36,.444-.694,39/49 -10,18/24,11/13,5/2,5/4,29/14
Knox,01/12/16,119-94,25,37-84/31-61,.440/.508,24-61/1-2,.393/.500,21-31/31-47,.677-.660,48/44 4,31/20,16/20,4/2,10/7,35/25
Lake Forest College,01/16/16,102-97,5,34-77/40-60,.442/.667,22-51/8-16,.431/.500,12-19/9-18,.632-.500,33/38 -5,22/32,12/19,1/2,10/7,19/18
Cornell College,01/20/16,124-100,24,42-84/40-64,.500/.625,29-63/1-3,.460/.333,11-14/19-25,.786-.760,32/40 -8,30/24,10/19,2/3,10/5,22/12
Beloit College,01/23/16,98-99,-1,38-82/41-63,.463/.651,19-53/1-2,.358/.500,3-6/16-27,.500-.593,28/50 -22,7/18,13/22,2/1,6/0,29/12
Illinois College,01/26/16,119-125,-6,42-95/40-64,.442/.625,18-53/12-22,.340/.545,17-23/33-46,.739-.717,40/47 -7,22/33,17/28,2/5,14/11,33/21
Ripon,01/30/16,91-121,-30,32-84/42-67,.381/.627,15-44/5-11,.341/.455,12-18/32-37,.667-.865,31/53 -22,15/25,15/21,4/1,10/10,28/18
Monmouth (IL),02/03/16,92-103,-11,33-98/38-52,.337/.731,11-56/0-1,.196/.000,15-20/27-36,.750-.750,43/45 -2,13/22,7/21,3/3,13/4,28/17
Carroll University,02/06/16,126-127,-1,43-90/47-69,.478/.681,19-47/4-6,.404/.667,21-28/29-37,.750-.784,34/44 -10,23/32,19/29,2/7,16/5,38/26
Lake Forest,02/13/16,78-95,-17,28-79/37-80,.354/.463,14-50/4-15,.280/.267,8-14/17-27,.571-.630,35/70 -35,12/11,12/19,3/0,6/4,25/19
Knox College,02/17/16,101-109,-8,38-99/37-60,.384/.617,17-56/0-0,.304/NaN,8-16/35-44,.500-.795,47/47 0,25/26,21/26,4/12,13/8,29/17
Illinois College,02/20/16,134-94,40,46-93/32-74,.495/.432,22-62/5-23,.355/.217,20-28/25-37,.714-.676,50/47 3,23/8,14/25,5/3,14/8,26/20
