Name,GP,AST,TO,AST/TO Ratio
"#12 Marx, Julian",23,68,24,2.83
"#24 Balcom, Nathan",23,11,10,1.1
"#54 Boehm, Griffin",23,5,4,1.25
"#05 Curta, Vinny",23,87,56,1.55
"#35 Ekstrand, Jacob",23,15,11,1.36
"#10 Jasaitis , Matt",22,37,31,1.19
"#25 Van Oort, Jake",2,3,3,1.0
"#03 Parker, Kyle",19,45,34,1.32
"#21 Porter, Mike",13,23,17,1.35
"#02 Redhead, Andrew",20,2,2,1.0
"#22 Thomas, Danny",22,35,20,1.75
"#25 Van Oort, Jake",19,11,8,1.38
