#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
12.0,"Marx, Julian 12 Marx, Julian",23,14.0,403,140,319,0.439,86,211,0.408,54,62,0.871,420,18.3
3.0,"Parker, Kyle 03 Parker, Kyle",19,7.0,335,100,284,0.352,63,198,0.318,41,65,0.631,304,16.0
5.0,"Curta, Vinny 05 Curta, Vinny",23,8.0,344,98,228,0.43,17,66,0.258,85,122,0.697,298,13.0
21.0,"Bayer, Braedon 21 Bayer, Braedon",9,4.0,143,30,80,0.375,10,44,0.227,31,53,0.585,101,11.2
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,5.0,356,84,203,0.414,54,148,0.365,12,22,0.545,234,10.2
10.0,"Jasaitis , Matt 10 Jasaitis , Matt",22,12.0,340,66,162,0.407,57,148,0.385,14,19,0.737,203,9.2
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",23,12.0,350,63,160,0.394,58,151,0.384,18,23,0.783,202,8.8
22.0,"Thomas, Danny 22 Thomas, Danny",22,11.0,313,58,113,0.513,12,38,0.316,28,32,0.875,156,7.1
15.0,"Phillip, Ikaika 15 Phillip, Ikaika",21,6.0,263,45,122,0.369,21,81,0.259,27,32,0.844,138,6.6
21.0,"Porter, Mike 21 Porter, Mike",13,9.0,201,19,47,0.404,10,32,0.313,7,12,0.583,55,4.2
33.0,"Curta, Nick 33 Curta, Nick",23,8.0,339,46,65,0.708,0,2,0.0,17,26,0.654,109,4.7
45.0,"Cullinane, Sean 45 Cullinane, Sean",21,2.0,116,18,33,0.545,12,25,0.48,2,3,0.667,50,2.4
25.0,"Van Oort, Jake 25 Van Oort, Jake",2,0.0,24,2,2,1.0,0,0,0.0,0,0,0.0,4,2.0
44.0,"Simon , Christian 44 Simon , Christian",11,0.0,75,8,26,0.308,6,21,0.286,2,2,1.0,24,2.2
24.0,"Balcom, Nathan 24 Balcom, Nathan",23,5.0,298,13,45,0.289,13,44,0.295,4,5,0.8,43,1.9
54.0,"Boehm, Griffin 54 Boehm, Griffin",23,3.0,145,9,14,0.643,0,1,0.0,6,12,0.5,24,1.0
3.0,"Bynum , Reggie 03 Bynum , Reggie",5,1.0,22,3,5,0.6,2,3,0.667,0,0,0.0,8,1.6
11.0,"King, Gus 11 King, Gus",23,1.0,159,12,42,0.286,11,40,0.275,2,6,0.333,37,1.6
4.0,"LaMacchia, Anthony 04 LaMacchia, Anthony",18,3.0,84,5,18,0.278,5,18,0.278,0,0,0.0,15,0.8
23.0,"Davis, Ryan 23 Davis, Ryan",16,2.0,41,4,7,0.571,0,1,0.0,0,3,0.0,8,0.5
25.0,"Van Oort, Jake 25 Van Oort, Jake",19,1.0,176,1,13,0.077,0,7,0.0,2,5,0.4,4,0.2
42.0,"LeMoine, Brent 42 LeMoine, Brent",8,0.0,13,2,3,0.667,1,2,0.5,0,0,0.0,5,0.6
2.0,"Redhead, Andrew 02 Redhead, Andrew",20,0.0,64,2,5,0.4,2,5,0.4,4,8,0.5,10,0.5
,Total,23,,4604,828,1996,0.415,440,1286,0.342,356,512,0.695,2452,106.61
,Opponents,23,,4604,892,1467,0.608,70,188,0.372,555,775,0.716,2409,104.74
