#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
12.0,"Marx, Julian 12 Marx, Julian",23,17.5,0.439,0.408,0.871,0.3,1.0,1.2,3.0,1.0,0.0,18.3
3.0,"Parker, Kyle 03 Parker, Kyle",19,17.6,0.352,0.318,0.631,0.9,0.8,1.7,2.4,1.3,0.2,16.0
5.0,"Curta, Vinny 05 Curta, Vinny",23,15.0,0.43,0.258,0.697,1.0,2.0,3.0,3.8,1.6,0.2,13.0
21.0,"Bayer, Braedon 21 Bayer, Braedon",9,15.9,0.375,0.227,0.585,1.0,1.6,2.6,3.2,1.9,0.0,11.2
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,15.5,0.414,0.365,0.545,1.0,0.3,1.3,1.0,1.3,0.0,10.2
10.0,"Jasaitis , Matt 10 Jasaitis , Matt",22,15.5,0.407,0.385,0.737,1.1,0.7,1.8,1.7,1.7,0.1,9.2
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",23,15.2,0.394,0.384,0.783,1.0,2.6,3.6,0.7,1.0,0.4,8.8
22.0,"Thomas, Danny 22 Thomas, Danny",22,14.2,0.513,0.316,0.875,1.2,1.3,2.5,1.6,0.6,0.0,7.1
15.0,"Phillip, Ikaika 15 Phillip, Ikaika",21,12.5,0.369,0.259,0.844,1.2,0.8,2.0,0.6,0.2,0.1,6.6
21.0,"Porter, Mike 21 Porter, Mike",13,15.5,0.404,0.313,0.583,1.4,0.8,2.2,1.8,1.4,0.0,4.2
33.0,"Curta, Nick 33 Curta, Nick",23,14.7,0.708,0.0,0.654,2.2,2.7,4.8,0.7,0.7,1.1,4.7
45.0,"Cullinane, Sean 45 Cullinane, Sean",21,5.5,0.545,0.48,0.667,0.3,0.6,0.9,0.2,0.2,0.0,2.4
25.0,"Van Oort, Jake 25 Van Oort, Jake",2,12.0,1.0,0.0,0.0,0.5,4.0,4.5,1.5,0.0,1.0,2.0
44.0,"Simon , Christian 44 Simon , Christian",11,6.8,0.308,0.286,1.0,0.8,0.5,1.4,0.1,0.0,0.0,2.2
24.0,"Balcom, Nathan 24 Balcom, Nathan",23,13.0,0.289,0.295,0.8,0.6,0.6,1.2,0.5,0.6,0.0,1.9
54.0,"Boehm, Griffin 54 Boehm, Griffin",23,6.3,0.643,0.0,0.5,0.9,0.8,1.7,0.2,0.1,0.1,1.0
3.0,"Bynum , Reggie 03 Bynum , Reggie",5,4.4,0.6,0.667,0.0,0.4,0.0,0.4,0.2,0.4,0.0,1.6
11.0,"King, Gus 11 King, Gus",23,6.9,0.286,0.275,0.333,0.6,0.3,0.9,0.1,0.5,0.0,1.6
4.0,"LaMacchia, Anthony 04 LaMacchia, Anthony",18,4.7,0.278,0.278,0.0,0.4,0.2,0.6,0.3,0.2,0.0,0.8
23.0,"Davis, Ryan 23 Davis, Ryan",16,2.6,0.571,0.0,0.0,0.3,0.3,0.6,0.1,0.1,0.2,0.5
25.0,"Van Oort, Jake 25 Van Oort, Jake",19,9.3,0.077,0.0,0.4,1.1,1.8,2.9,0.6,0.2,0.8,0.2
42.0,"LeMoine, Brent 42 LeMoine, Brent",8,1.6,0.667,0.5,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.6
2.0,"Redhead, Andrew 02 Redhead, Andrew",20,3.2,0.4,0.4,0.5,0.4,0.2,0.6,0.1,0.1,0.1,0.5
,Total,23,200.2,0.415,0.342,0.695,18.2,20.0,38.2,19.0,12.5,3.1,106.61
,Opponents,23,200.2,0.608,0.372,0.716,11.0,36.8,47.7,23.1,7.0,3.6,104.74
