#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
12,"Marx, Julian 12 Marx, Julian",23,14.0,403,17.5,140,319,0.439,86,211,0.408,54,62,0.871,420,18.3,6,22,28,1.2,33,68,24,24,0,View Bio
03,"Parker, Kyle 03 Parker, Kyle",19,7.0,335,17.6,100,284,0.352,63,198,0.318,41,65,0.631,304,16.0,17,15,32,1.7,41,45,34,25,3,View Bio
05,"Curta, Vinny 05 Curta, Vinny",23,8.0,344,15.0,98,228,0.43,17,66,0.258,85,122,0.697,298,13.0,24,46,70,3.0,58,87,56,37,4,View Bio
21,"Bayer, Braedon 21 Bayer, Braedon",9,4.0,143,15.9,30,80,0.375,10,44,0.227,31,53,0.585,101,11.2,9,14,23,2.6,21,29,30,17,0,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,5.0,356,15.5,84,203,0.414,54,148,0.365,12,22,0.545,234,10.2,22,8,30,1.3,46,23,30,29,1,View Bio
10,"Jasaitis , Matt 10 Jasaitis , Matt",22,12.0,340,15.5,66,162,0.407,57,148,0.385,14,19,0.737,203,9.2,24,16,40,1.8,43,37,31,37,2,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",23,12.0,350,15.2,63,160,0.394,58,151,0.384,18,23,0.783,202,8.8,24,59,83,3.6,74,15,11,23,10,View Bio
22,"Thomas, Danny 22 Thomas, Danny",22,11.0,313,14.2,58,113,0.513,12,38,0.316,28,32,0.875,156,7.1,26,29,55,2.5,25,35,20,13,0,View Bio
15,"Phillip, Ikaika 15 Phillip, Ikaika",21,6.0,263,12.5,45,122,0.369,21,81,0.259,27,32,0.844,138,6.6,25,16,41,2.0,47,13,15,4,3,View Bio
33,"Curta, Nick 33 Curta, Nick",23,8.0,339,14.7,46,65,0.708,0,2,0.0,17,26,0.654,109,4.7,50,61,111,4.8,59,16,17,17,26,View Bio
21,"Porter, Mike 21 Porter, Mike",13,9.0,201,15.5,19,47,0.404,10,32,0.313,7,12,0.583,55,4.2,18,10,28,2.2,34,23,17,18,0,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",21,2.0,116,5.5,18,33,0.545,12,25,0.48,2,3,0.667,50,2.4,6,12,18,0.9,10,4,6,5,0,View Bio
44,"Simon , Christian 44 Simon , Christian",11,0.0,75,6.8,8,26,0.308,6,21,0.286,2,2,1.0,24,2.2,9,6,15,1.4,7,1,3,0,0,View Bio
25,"Van Oort, Jake 25 Van Oort, Jake",2,0.0,24,12.0,2,2,1.0,0,0,0.0,0,0,0.0,4,2.0,1,8,9,4.5,6,3,3,0,2,View Bio
24,"Balcom, Nathan 24 Balcom, Nathan",23,5.0,298,13.0,13,45,0.289,13,44,0.295,4,5,0.8,43,1.9,14,14,28,1.2,35,11,10,14,0,View Bio
03,"Bynum , Reggie 03 Bynum , Reggie",5,1.0,22,4.4,3,5,0.6,2,3,0.667,0,0,0.0,8,1.6,2,0,2,0.4,3,1,0,2,0,View Bio
11,"King, Gus 11 King, Gus",23,1.0,159,6.9,12,42,0.286,11,40,0.275,2,6,0.333,37,1.6,13,8,21,0.9,18,2,4,11,0,View Bio
54,"Boehm, Griffin 54 Boehm, Griffin",23,3.0,145,6.3,9,14,0.643,0,1,0.0,6,12,0.5,24,1.0,21,19,40,1.7,15,5,4,3,2,View Bio
04,"LaMacchia, Anthony 04 LaMacchia, Anthony",18,3.0,84,4.7,5,18,0.278,5,18,0.278,0,0,0.0,15,0.8,7,3,10,0.6,5,5,0,3,0,View Bio
42,"LeMoine, Brent 42 LeMoine, Brent",8,0.0,13,1.6,2,3,0.667,1,2,0.5,0,0,0.0,5,0.6,1,2,3,0.4,1,0,0,0,0,View Bio
23,"Davis, Ryan 23 Davis, Ryan",16,2.0,41,2.6,4,7,0.571,0,1,0.0,0,3,0.0,8,0.5,5,4,9,0.6,6,1,4,1,3,View Bio
02,"Redhead, Andrew 02 Redhead, Andrew",20,0.0,64,3.2,2,5,0.4,2,5,0.4,4,8,0.5,10,0.5,8,4,12,0.6,18,2,2,1,1,View Bio
25,"Van Oort, Jake 25 Van Oort, Jake",19,1.0,176,9.3,1,13,0.077,0,7,0.0,2,5,0.4,4,0.2,20,35,55,2.9,38,11,8,3,15,View Bio
TM,Team  TM Team,22,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,67,48,115,5.2,0,0,7,0,0,
,Total,23,,4604,200.2,828,1996,0.415,440,1286,0.342,356,512,0.695,2452,106.61,419,459,878,38.2,643,437,336,287,72,
,Opponents,23,,4604,200.2,892,1467,0.608,70,188,0.372,555,775,0.716,2409,104.74,252,846,1098,47.7,467,531,556,160,82,
