Name,GP,AST,AST/G
"#05 Curta, Vinny",23,87,3.8
"#12 Marx, Julian",23,68,3.0
"#03 Parker, Kyle",19,45,2.4
"#10 Jasaitis , Matt",22,37,1.7
"#22 Thomas, Danny",22,35,1.6
"#21 Bayer, Braedon",9,29,3.2
"#13 Johnson, Ky-Sean",23,23,1.0
"#21 Porter, Mike",13,23,1.8
"#33 Curta, Nick",23,16,0.7
"#35 Ekstrand, Jacob",23,15,0.7
"#15 Phillip, Ikaika",21,13,0.6
"#24 Balcom, Nathan",23,11,0.5
"#25 Van Oort, Jake",19,11,0.6
"#54 Boehm, Griffin",23,5,0.2
"#04 LaMacchia, Anthony",18,5,0.3
"#45 Cullinane, Sean",21,4,0.2
"#25 Van Oort, Jake",2,3,1.5
"#11 King, Gus",23,2,0.1
"#02 Redhead, Andrew",20,2,0.1
"#03 Bynum , Reggie",5,1,0.2
"#23 Davis, Ryan",16,1,0.1
"#44 Simon , Christian",11,1,0.1
