Name,GP,Pts,Pts/G
"#12 Marx, Julian",23,420,18.3
"#03 Parker, Kyle",19,304,16.0
"#05 Curta, Vinny",23,298,13.0
"#13 Johnson, Ky-Sean",23,234,10.2
"#10 Jasaitis , Matt",22,203,9.2
"#35 Ekstrand, Jacob",23,202,8.8
"#22 Thomas, Danny",22,156,7.1
"#15 Phillip, Ikaika",21,138,6.6
"#33 Curta, Nick",23,109,4.7
"#21 Bayer, Braedon",9,101,11.2
"#21 Porter, Mike",13,55,4.2
"#45 Cullinane, Sean",21,50,2.4
"#24 Balcom, Nathan",23,43,1.9
"#11 King, Gus",23,37,1.6
"#54 Boehm, Griffin",23,24,1.0
"#44 Simon , Christian",11,24,2.2
"#04 LaMacchia, Anthony",18,15,0.8
"#02 Redhead, Andrew",20,10,0.5
"#03 Bynum , Reggie",5,8,1.6
"#23 Davis, Ryan",16,8,0.5
"#42 LeMoine, Brent",8,5,0.6
"#25 Van Oort, Jake",2,4,2.0
"#25 Van Oort, Jake",19,4,0.2
