Statistic,High,Player,Opponent
POINTS,32,Vinny Curta,Illinois College (02/20/16)
FIELD GOALS MADE,12,Julian Marx,Cornell College (12/02/15)
FIELD GOAL ATTEMPTS,30,Kyle Parker,Silver Lake (11/14/15)
3 PT FIELD GOALS MADE,9,Kyle Parker,Wartburg (11/17/15)
3 PT FG ATTEMPTS,20,Kyle Parker,Silver Lake (11/14/15)
FREE THROWS MADE,11,Vinny Curta,Illinois College (02/20/16)
FREE THROW ATTEMPTS,15,Vinny Curta,Illinois College (02/20/16)
REBOUNDS,12,Team,Knox College (02/17/16)
ASSISTS,10,Vinny Curta,Knox (01/12/16); Cornell College (01/20/16)
STEALS,6,Braedon Bayer,Colorado College (11/22/15)
BLOCKED SHOTS,4,Nick Curta,Ripon (01/30/16); Illinois College (02/20/16)
TURNOVERS,9,Braedon Bayer,Wartburg (11/17/15)
FOULS,5,Matt Jasaitis; Jacob Ekstrand; Ky-Sean Johnson; Mike Porter; Kyle Parker; Ikaika Phillip,Crossroads (11/15/15); Wartburg (11/17/15); Saint Norbert (12/05/15); Knox (01/12/16); Monmouth (IL) (02/03/16); Monmouth College (12/08/15); Ripon College (01/09/16); Beloit College (01/23/16); Illinois College (01/26/16); Carroll University (02/06/16)
