Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Silver Lake,11/14/15,125-90,W,43-96,0.448,21-57,0.368,18-32,0.563,21,19,40,40.0,23,16,8,3,18,125,125.0
vs Crossroads,11/15/15,102-75,W,30-82,0.366,16-55,0.291,26-39,0.667,21,20,41,40.5,24,16,14,1,21,102,113.5
vs Wartburg,11/17/15,91-105,L,30-71,0.423,20-52,0.385,11-16,0.688,13,13,26,35.7,25,21,18,5,13,91,106.0
vs Colorado College,11/22/15,105-90,W,34-84,0.405,15-45,0.333,22-30,0.733,19,23,42,37.3,24,18,18,4,16,105,105.8
at Simpson,11/24/15,80-103,L,25-75,0.333,16-49,0.327,14-20,0.7,18,25,43,38.4,25,10,20,9,9,80,100.6
vs Beloit,11/28/15,115-118,L,39-90,0.433,23-61,0.377,14-18,0.778,17,13,30,37.0,32,14,15,4,16,115,103.0
at Cornell College,12/02/15,123-120,W,38-97,0.392,22-69,0.319,25-32,0.781,25,17,42,37.7,30,22,21,1,19,123,105.9
vs Saint Norbert,12/05/15,91-104,L,30-81,0.37,17-62,0.274,14-17,0.824,17,17,34,37.3,31,19,15,3,11,91,104.0
at Monmouth College,12/08/15,135-142,L,48-101,0.475,25-63,0.397,14-24,0.583,17,19,36,37.1,38,25,9,0,13,135,107.4
vs Carroll (WI),12/12/15,103-109,L,28-84,0.333,16-56,0.286,31-40,0.775,24,17,41,37.5,27,15,16,3,11,103,107.0
at Lawrence University,01/02/16,109-89,W,36-83,0.434,22-58,0.379,15-18,0.833,17,28,45,38.2,23,20,15,2,13,109,107.2
at Ripon College,01/09/16,89-100,L,34-87,0.391,17-63,0.27,4-9,0.444,22,17,39,38.3,29,18,11,5,5,89,105.7
vs Knox,01/12/16,119-94,W,37-84,0.44,24-61,0.393,21-31,0.677,22,26,48,39.0,35,31,16,4,10,119,106.7
at Lake Forest College,01/16/16,102-97,W,34-77,0.442,22-51,0.431,12-19,0.632,12,21,33,38.6,19,22,12,1,10,102,106.4
vs Cornell College,01/20/16,124-100,W,42-84,0.5,29-63,0.46,11-14,0.786,11,21,32,38.1,22,30,10,2,10,124,107.5
at Beloit College,01/23/16,98-99,L,38-82,0.463,19-53,0.358,3-6,0.5,8,20,28,37.5,29,7,13,2,6,98,106.9
at Illinois College,01/26/16,119-125,L,42-95,0.442,18-53,0.34,17-23,0.739,20,20,40,37.6,33,22,17,2,14,119,107.6
vs Ripon,01/30/16,91-121,L,32-84,0.381,15-44,0.341,12-18,0.667,11,20,31,37.3,28,15,15,4,10,91,106.7
vs Monmouth (IL),02/03/16,92-103,L,33-98,0.337,11-56,0.196,15-20,0.75,28,15,43,37.6,28,13,7,3,13,92,105.9
at Carroll University,02/06/16,126-127,L,43-90,0.478,19-47,0.404,21-28,0.75,18,16,34,37.4,38,23,19,2,16,126,107.0
vs Lake Forest,02/13/16,78-95,L,28-79,0.354,14-50,0.28,8-14,0.571,16,19,35,37.3,25,12,12,3,6,78,105.6
at Knox College,02/17/16,101-109,L,38-99,0.384,17-56,0.304,8-16,0.5,28,19,47,37.7,29,25,21,4,13,101,105.4
vs Illinois College,02/20/16,134-94,W,46-93,0.495,22-62,0.355,20-28,0.714,16,34,50,38.3,26,23,14,5,14,134,106.6
Grinnell College,,-,,828-1996,0.415,440-1286,0.342,356-512,0.695,421,459,880,38.3,643,437,336,72,287,2452,106.6
Opponents,,-,,892-1467,0.608,70-188,0.372,555-775,0.716,252,846,1098,47.7,467,531,556,82,160,2409,104.7
