Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"February 25, 2023 (Saturday)",2:00 PM,Neutral,COLLEGE OF ST. SCHOLASTICA,"RHINELANDER, WIS.",,,,"L,3-7",Box ScoreRecap
"February 25, 2023 (Saturday)",4:30 PM,Neutral,NORTHLAND COLLEGE,"RHINELANDER, WIS.",,,,"W,9-15 Innings",Box ScoreRecap
"February 26, 2023 (Sunday)",11:00 AM,Neutral,UW-STEVENS POINT,"RHINELANDER, WIS.",,,,"L,5-10",Box ScoreRecap
"February 26, 2023 (Sunday)",1:00 PM,Neutral,NORTHLAND COLLEGE,"RHINELANDER, WIS.",,,,"W,10-4",Box ScoreRecap
"March 12, 2023 (Sunday)",9:30 AM EST,Neutral,ROGER WILLIAMS UNIVERSITY,"WINTER HAVEN, FLA./ DiamondPlex Field D",,,The Spring Games,"W,7-5",Box ScoreRecap
"March 12, 2023 (Sunday)",11:30 AM EST,Neutral,AUGSBURG UNIVERSITY,"WINTER HAVEN, FLA./ DiamondPlex Field D",,,The Spring Games,"W,5-1",Box ScoreRecap
"March 13, 2023 (Monday)",2:00 PM EST,Neutral,COLLEGE OF ST. SCHOLASTICA,"AUBURNDALE, FLA./ Auburndale Field 4",,,The Spring Games,"L,0-85 Innings",Box ScoreRecap
"March 13, 2023 (Monday)",4:30 PM EST,Neutral,FRANKLIN AND MARSHALL COLLEGE,"AUBURNDALE, FLA./ Auburndale Field 4",,,The Spring Games,"W,9-88 innings",Box ScoreRecap
"March 14, 2023 (Tuesday)",11:30 AM EST,Neutral,NICHOLS COLLEGE,"AUBURNDALE, FLA./ Auburndale Field 1",,,The Spring Games,"L,1-2",Box ScoreRecap
"March 14, 2023 (Tuesday)",4:30 PM EST,Neutral,OSWEGO STATE,"AUBURNDALE, FLA./ Auburndale Field 5",,,The Spring Games,"W,7-5",Box ScoreRecap
"March 16, 2023 (Thursday)",2:00 PM EST,Neutral,BENEDICTINE UNIVERSITY,"AUBURNDALE, FLA./ Auburndale Field 5",,,The Spring Games,"L,0-8",Box ScoreRecap
"March 16, 2023 (Thursday)",4:30 PM EST,Neutral,LASELL UNIVERSITY,"AUBURNDALE, FLA./ Auburndale Field 5",,,The Spring Games,"L,4-6",Box ScoreRecap
"March 17, 2023 (Friday)",4:30 PM EST,Neutral,UNIVERSITY OF CHICAGO,"WINTER HAVEN, FLA./ DiamondPlex Field D",,,The Spring Games,"L,3-4",Box ScoreRecap
"March 17, 2023 (Friday)",2:00 PM EST,Neutral,Hood College,"WINTER HAVEN, FLA./ DiamondPlex Field A",,,The Spring Games,"L,2-5",Box ScoreRecap
"March 24, 2023 (Friday)",2:00 PM,Away,CONCORDIA UNIVERSITY,"MEQUON, WIS.",,,,"L,0-11",Box ScoreRecap
"March 24, 2023 (Friday)",4:00 PM,Away,CONCORDIA UNIVERSITY,"MEQUON, WIS.",,,,"L,0-8",Box ScoreRecap
"March 25, 2023 (Saturday)",1:00 PM,Away,MARIAN UNIVERSITY,"FOND DU LAC, WIS.",,,,Postponed,
"March 25, 2023 (Saturday)",3:00 PM,Away,MARIAN UNIVERSITY,"FOND DU LAC, WIS.",,,,Postponed,
"March 28, 2023 (Tuesday)",3:00 PM,Home,ALVERNO UNIVERSITY,"RIPON, WIS./Tracy Field",,,,Postponed,
"March 28, 2023 (Tuesday)",5:00 PM,Home,ALVERNO UNIVERSITY,"RIPON, WIS./Tracy Field",,,,Postponed,
"April 2, 2023 (Sunday)",2:00 PM,Home,MOUNT MARY UNIVERSITY,"RIPON, WIS./Tracy Field",,,,Canceled,
"April 2, 2023 (Sunday)",4:00 PM,Home,MOUNT MARY UNIVERSITY,"RIPON, WIS./Tracy Field",,,,Canceled,
"April 4, 2023 (Tuesday)",3:00 PM,Away,University of Wisconsin-Oshkosh,"Oshkosh, WI",,,,Postponed,
"April 4, 2023 (Tuesday)",5:00 PM,Away,University of Wisconsin-Oshkosh,"Oshkosh, WI",,,,Postponed,
"April 7, 2023 (Friday)",3:00 PM,Home,MONMOUTH COLLEGE,"RIPON, WIS./Tracy Field",,,,"W,8-3",Box ScoreRecap
"April 7, 2023 (Friday)",5:00 PM,Home,MONMOUTH COLLEGE,"RIPON, WIS./Tracy Field",,,,"L,0-5",Box ScoreRecap
