Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Shults, Andrew",SR-4,23.68,Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Ampim-Darko, Papa Kojo",SR-4,23.74,Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Ampim-Darko, Papa Kojo",SR-4,24.09,Luther Alumni Meet,"Feb 2, 2019",0.0
,"Ampim-Darko, Papa Kojo",SR-4,24.12,2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Ampim-Darko, Papa Kojo",SR-4,24.17,Hilltop Invitational,"Jan 19, 2019",0.0
,"Henderson, Erik",SR-4,24.29,Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,24.3,Luther Alumni Meet,"Feb 2, 2019",0.0
,"Jacobs, Tommy",FR-1,24.59,2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Henderson, Erik",SR-4,25.16,2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Taylor, Zeke",SO-2,25.66,Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Nadesan, Kamal",SR-4,27.81,Hilltop Invitational,"Jan 19, 2019",0.0
