Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:29.88,"Ampim-Darko, Jacobs, O'Reilly, Willis",Midwest Conference Indoor Championships,"Feb 22, 2019"
,3:31.54,"Jacobs, O'Reilly, Ampim-Darko, Willis",Wartburg Indoor Invite,"Feb 16, 2019"
,3:36.17,"O'Reilly, O'Reilly, Shults, Willis",2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,3:37.52,"O'Reilly, O'Reilly, Gregor, Willis",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,3:42.01,"Shults, Jacobs, Taylor, Willis",Hilltop Invitational,"Jan 19, 2019"
,3:43.99,"O'Reilly, Gregor, Midlash, Henderson",Wartburg Indoor Invite,"Feb 16, 2019"
,3:47.94,"O'Reilly, O'Reilly, Gregor, Gilmour",Hilltop Invitational,"Jan 19, 2019"
,4:17.49,"Shults, O'Reilly, O'Reilly, Ampim-Darko",Luther Alumni Meet,"Feb 2, 2019"
