Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Jacobs, Tommy",FR-1,5.96m,"19' 6.75""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,5.85m,"19' 2.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,5.81m,"19' 0.75""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Jacobs, Tommy",FR-1,5.80m,"19' 0.5""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Jacobs, Tommy",FR-1,5.65m,"18' 6.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,5.63m,"18' 5.75""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Jacobs, Tommy",FR-1,5.62m,"18' 5.25""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Jacobs, Tommy",FR-1,5.61m,"18' 5""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Jacobs, Tommy",FR-1,5.39m,"17' 8.25""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Jacobs, Tommy",FR-1,5.27m,"17' 3.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,5.21m,"17' 1.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,5.10m,"16' 8.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
