0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Invitational,"April 21, 2021",1,85,+13,10th/25
Grinnell vs. William Penn B,"April 24, 2021",1,78,+8,t-3rd/13
SLIAC Women's Championships,"May 1-2, 2021",2,85-90=175,+31,t-11th/36
SEASON TOTALS,SEASON TOTALS,4,338 Avg. 84.5,+13,-
