0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Spring Invite,"April 17-18, 2021",2,85-86=171,+31,t-17th/49
Simpson Invitational,"April 21, 2021",1,81,+9,5th/25
Grinnell vs. William Penn B,"April 24, 2021",1,85,+15,7th/13
SLIAC Women's Championships,"May 1-2, 2021",2,91-88=179,+35,t-14th/36
SEASON TOTALS,SEASON TOTALS,6,516 Avg. 86.0,+15,-
