0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Spring Invite,"April 17-18, 2021",2,85-88=173,+33,t-21st/49
Simpson Invitational,"April 21, 2021",1,82,+10,6th/25
Grinnell vs. William Penn B,"April 24, 2021",1,80,+10,5th/13
SLIAC Women's Championships,"May 1-2, 2021",2,92-86=178,+34,13th/36
NCAA D-III Women's Golf Championship,"May 11-14, 2021",4,91-91-92--2=274,+58,
SEASON TOTALS,SEASON TOTALS,9,787 Avg. 87.4,+16,-
