School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College#*,17-1,.944,23-5,.821,L2,14-2,9-2,0-1
Ripon*,14-4,.778,20-8,.714,L1,8-3,11-4,1-1
Lake Forest*,10-8,.556,13-13,.500,L1,6-6,7-6,0-1
Monmouth (IL),9-9,.500,14-11,.560,L4,8-3,6-8,0-0
Cornell College*,9-9,.500,14-12,.538,L1,7-5,5-7,2-0
Grinnell,9-9,.500,13-12,.520,L1,9-5,4-7,0-0
Lawrence,7-11,.389,11-14,.440,W1,7-4,4-10,0-0
Beloit,6-12,.333,8-17,.320,L6,4-9,4-8,0-0
Knox,5-13,.278,9-16,.360,L2,7-6,2-10,0-0
Illinois Col.,4-14,.222,6-19,.240,L1,4-9,2-10,0-0
