School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College,16-2,.889,19-5,.792,L1,11-1,8-4,0-0
Ripon,14-4,.778,20-6,.769,L1,9-2,9-3,2-1
Grinnell,13-5,.722,16-7,.696,W5,11-1,5-6,0-0
Lake Forest,11-7,.611,14-11,.560,L1,5-6,8-4,1-1
Cornell College,10-8,.556,12-12,.500,L1,7-3,4-7,1-2
Lawrence,9-9,.500,9-13,.409,L2,5-4,4-7,0-2
Monmouth (IL),6-12,.333,6-17,.261,L5,4-6,2-11,0-0
Illinois Col.,5-13,.278,8-15,.348,L1,5-7,2-7,1-1
Beloit,4-14,.222,6-17,.261,L3,4-8,2-9,0-0
Knox,2-16,.111,2-21,.087,L2,2-11,0-10,0-0
