School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Monmouth (IL)*^,15-3,.833,20-8,.714,L1,12-2,8-6,0-0
Ripon*,14-4,.778,18-7,.720,L1,8-2,8-4,2-1
St. Norbert College*,14-4,.778,19-7,.731,L1,12-4,7-2,0-1
Lake Forest*,13-5,.722,17-9,.654,L1,8-3,8-5,1-1
Grinnell,8-10,.444,13-11,.542,L1,12-3,1-8,0-0
Cornell College,7-11,.389,12-13,.480,L1,6-5,5-8,1-0
Lawrence,7-11,.389,11-13,.458,L6,6-5,4-7,1-1
Knox,5-13,.278,7-18,.280,L3,5-6,2-12,0-0
Beloit,4-14,.222,5-20,.200,L2,4-8,1-11,0-1
Illinois Col.,3-15,.167,8-17,.320,W1,7-6,0-11,1-0
