School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Illinois Col.*^,15-1,.938,25-3,.893,L1,15-1,8-2,2-0
Cornell College*,12-4,.750,15-12,.556,L1,8-4,6-8,1-0
Monmouth (IL)*,10-6,.625,14-12,.538,L2,9-5,5-6,0-1
Ripon*,10-6,.625,14-12,.538,L1,9-3,5-9,0-0
Lake Forest,8-8,.500,11-14,.440,W1,5-6,6-8,0-0
Lawrence,6-10,.375,9-16,.360,L2,7-4,2-9,0-3
Grinnell,4-12,.250,8-16,.333,L1,6-9,2-7,0-0
Knox,4-12,.250,6-19,.240,L5,1-9,5-10,0-0
Beloit,3-13,.188,7-18,.280,L2,5-9,2-9,0-0
