School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon,0-0,.000,2-0,1.000,W2,1-0,1-0,0-0
Illinois Col.,0-0,.000,7-2,.778,W3,5-0,2-2,0-0
Cornell College,0-0,.000,3-6,.333,L3,2-1,1-5,0-0
Knox,0-0,.000,1-2,.333,W1,1-1,0-1,0-0
Lawrence,0-0,.000,0-0,.000,,0-0,0-0,0-0
Lake Forest,0-0,.000,0-8,.000,L8,0-4,0-4,0-0
