School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College#*,16-2,.889,19-8,.704,L1,11-2,7-5,1-1
Grinnell*,15-3,.833,19-6,.760,L1,13-0,6-5,0-1
Lake Forest*,12-6,.667,18-10,.643,L1,7-4,10-3,1-3
Monmouth (IL)*,11-7,.611,13-13,.500,L1,8-6,5-7,0-0
Ripon,11-7,.611,15-10,.600,W2,7-5,6-5,2-0
Lawrence,8-10,.444,11-14,.440,L2,6-6,5-7,0-1
Illinois Col.,7-11,.389,9-16,.360,W2,6-6,3-10,0-0
Beloit,6-12,.333,8-17,.320,W1,4-9,4-8,0-0
Cornell College,4-14,.222,6-19,.240,L5,4-8,2-10,0-1
Knox,0-18,.000,1-24,.040,L23,1-13,0-11,0-0
