Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Hiser, Alexander",JR-3,23.75,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Hiser, Alexander",JR-3,24.15,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Jacobs, Tommy",SR-4,24.16,Grinnell Invitational,"Jan 29, 2022",NWI
,"Walcher, Kyler",JR-3,24.25,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Jacobs, Tommy",SR-4,24.32,Hilltop Invitational,"Jan 22, 2022",NWI
,"Walcher, Kyler",JR-3,24.34,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Fuller, Andrew",SO-2,24.45,Grinnell Invitational,"Jan 29, 2022",NWI
,"Versh, Peter",FR-1,24.49,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"James, Xavier",FR-1,24.53,Darren Young Invitational,"Feb 12, 2022",NWI
,"Walcher, Kyler",JR-3,24.57,Hilltop Invitational,"Jan 22, 2022",NWI
,"James, Xavier",FR-1,24.6,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Versh, Peter",FR-1,24.64,Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Walcher, Kyler",JR-3,24.73,Grinnell Invitational,"Jan 29, 2022",NWI
,"Versh, Peter",FR-1,25.02,Darren Young Invitational,"Feb 12, 2022",NWI
,"Versh, Peter",FR-1,25.41,Luther College Invitational,"Feb 5, 2022",NWI
