Unnamed: 0,Time,Athletes,Meet,Meet Date
,1:33.96,"Hiser, Fuller, Walcher, Jacobs",Midwest Conference Indoor Championships,"Feb 25, 2022"
,1:34.93,"Walcher, Hiser, Fuller, Jacobs",Luther College Invitational,"Feb 5, 2022"
,1:35.14,"Walcher, Hiser, Fuller, Jacobs",Darren Young Invitational,"Feb 12, 2022"
,1:36.36,"Stefan, Willis, Holland, Shumba",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,1:40.84,"Walcher, Jacobs, Versh, James",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
