Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,2597,14,30298,1.20,1500,9,25962,0.52,,,,
2004,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,1950,16,15600,2.00,2420,6,14520,1.00,,,,
2005,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,3651,12,41332,1.06,2646,7,42095,0.44,,,,
2006,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,3555,14,40137,1.24,1774,8,32255,0.44,,,,
2007,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,3462,14,29554,1.64,1418,10,29542,0.48,,,,
2008,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,2807,17,11930,4.00,2271,12,6813,4.00,,,,
2009,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,5611,15,40079,2.10,2926,11,27988,1.15,,,,
2010,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,5716,15,41024,2.09,3947,12,37294,1.27,,,,
2011,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,4057,16,32295,2.01,4788,8,54720,0.70,,,,
2012,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,3856,11,27190,1.56,3886,11,38860,1.10,,,,
2013,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,11198,10,42578,2.63,6743,6,30650,1.32,,,,
2014,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,6402,16,55369,1.85,4918,13,41787,1.53,,,,
2015,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,7908,21,34312,5.00,2966,14,29242,1.00,,,,
2016,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,12760,17,45286,4.79,4615,12,40721,1.36,,,,
2017,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,11094,16,44376,4.00,4307,12,33345,1.55,,,,
2018,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,11727,16,41696,4.50,4490,15,19243,3.50,,,,
2019,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,12498,16,44437,4.50,5596,14,22384,3.50,,,,
2020,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,9464,2,16459,1.15,5782,4,15419,1.50,,,,
2021,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,10555,24,22699,11.16,4891,14,16460,4.16,,,,
2022,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,13870,17,25491,9.25,7549,11,15817,5.25,,,,
