0,1,2,3,4
"Best Scoring Average, Season (Min. 10 rounds)","Best Scoring Average, Season (Min. 10 rounds)","Best Scoring Average, Season (Min. 10 rounds)","Best Scoring Average, Season (Min. 10 rounds)","Best Scoring Average, Season (Min. 10 rounds)"
Average,Player,Season,Rounds,Strokes
83.0,Mallory Messin,2011,10,830
85.4,Mallory Messin,2010,13,1110
87.1,Elizabeth Burnett,2011,10,871
89.1,Alex Plemmons,2011,14,1248
89.3,Stephanie Spahr,2010,14,1250
89.3,Natalie Klee,2011,10,893
89.7,Stephanie Spahr,2011,14,1256
91.0,Elizabeth Burnett,2010,13,1183
91.2,Natalie Klee,2010,14,1277
91.4,Hailey Speck,2011,10,914
97.9,Elaine Teo,2010,12,1175
