Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:23.83,"Fuller, Mendola, Chestovich, Fadden",Midwest Conference Outdoor Championships,"May 12, 2023"
,3:30.55,"Fadden, Fuller, Chestovich, Cantor",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,3:34.35,"Chestovich, Heagy, Nickeson, Cantor",D3 Challenge,"Mar 25, 2023"
,3:34.93,"Fadden, Saldanha, Boev, Snyder",Mustang Open,"Apr 1, 2023"
,3:36.00,"Fadden, Mendola, Fuller, Cantor",Dick Young Classic,"Apr 22, 2023"
,3:36.63,"Chestovich, Snyder, Nickeson, Cantor",Norse Invite,"Apr 15, 2023"
,3:36.84,"James, Milenge, Novelle, Mendola",Norse Invite,"Apr 15, 2023"
,3:38.46,"Chestovich, Heagy, Nickeson, Robinson",Dick Young Classic,"Apr 22, 2023"
,3:51.93,"Boev, Goodell, Miller, Ramsey",Dick Young Classic,"Apr 22, 2023"
,3:52.34,"Ching, Krysan, Welch-Groves, Williams",Dick Young Classic,"Apr 22, 2023"
,3:56.10,"Mendola, Heagy, Robinson, Welch-Groves",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
