Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 11, 1988 (Sunday)",,Home,Notre Dame College (Ohio),"Lake Forest, IL",,,"W,1-0",
"September 15, 1988 (Thursday)",,Away,Lewis University,"Romeoville, IL",,,"L,1-3",
"September 20, 1988 (Tuesday)",,Away,Ripon College,"Ripon, WI",,,"L,3-4",
"September 22, 1988 (Thursday)",,Home,Kalamazoo College,"Lake Forest, IL",,,"L,1-3",
"September 24, 1988 (Saturday)",,Away,Grinnell College,"Grinnell, IA",,,"W,2-0",
"September 27, 1988 (Tuesday)",,Away,Wheaton College (Ill.),"Wheaton, IL",,,"W,1-0",
"October 4, 1988 (Tuesday)",,Away,University of Chicago,"Chicago, IL",,,"W,5-0",
"October 6, 1988 (Thursday)",,Home,Beloit College,"Lake Forest, IL",,,"W,2-1",
"October 8, 1988 (Saturday)",,Home,St. Norbert College,"Lake Forest, IL",,,"T,4-4(2OT)",
"October 13, 1988 (Thursday)",,Away,Beloit College,"Beloit, WI",,,"W,6-1",
"October 16, 1988 (Sunday)",,Home,Lawrence University,"Lake Forest, IL",,,"W,4-0",
"October 22, 1988 (Saturday)",,Home,Wheaton College (Ill.),"Lake Forest, IL",,,"W,4-1",
"October 25, 1988 (Tuesday)",,Home,University of Chicago,"Lake Forest, IL",,,"W,4-1",
"October 29, 1988 (Saturday)",,Away,Knox College,"Galesburg, IL",,,"W,5-0",
